party,un_share,un_share_fraction,inverted_share,total_allocation,state_envelope,iplc_envelope,World Bank Income Group,Party Status
United States of America,22,0,0,0,0,0,Not Available,Non-Party
China,20.004,0.20004000000000002,0.0000011266064681219805,0.0011266064681219805,0.0005633032340609902,0.0005633032340609902,Upper middle income,Party
Japan,6.93,0.0693,0.000003252039796293232,0.003252039796293232,0.001626019898146616,0.001626019898146616,High income,Party
Germany,5.692,0.05692,0.000003959352738635295,0.0039593527386352955,0.0019796763693176477,0.0019796763693176477,High income,Party
United Kingdom,3.991,0.03991,0.000005646864391959934,0.005646864391959935,0.0028234321959799673,0.0028234321959799673,High income,Party
France,3.858,0.03858,0.000005841533382144141,0.005841533382144142,0.002920766691072071,0.002920766691072071,High income,Party
Italy,2.813,0.028130000000000002,0.000008011601773306824,0.008011601773306823,0.004005800886653412,0.004005800886653412,High income,Party
Canada,2.543,0.02543,0.000008862224061467596,0.008862224061467595,0.0044311120307337975,0.0044311120307337975,High income,Party
Republic of Korea,2.349,0.02349,0.000009594140395194593,0.009594140395194593,0.004797070197597297,0.004797070197597297,High income,Party
Russian Federation,2.094,0.02094,0.000010762481274265567,0.010762481274265566,0.005381240637132783,0.005381240637132783,High income,Party
Australia,2.04,0.0204,0.000011047370484466715,0.011047370484466716,0.005523685242233358,0.005523685242233358,High income,Party
Spain,1.895,0.01895,0.000011892683793304537,0.011892683793304538,0.005946341896652269,0.005946341896652269,High income,Party
Brazil,1.411,0.014110000000000001,0.00001597210190525308,0.01597210190525308,0.00798605095262654,0.00798605095262654,Upper middle income,Party
Netherlands (Kingdom of the),1.298,0.01298,0.000017362585353090984,0.017362585353090983,0.008681292676545492,0.008681292676545492,High income,Party
Saudi Arabia,1.217,0.01217,0.000018518188815375595,0.018518188815375595,0.009259094407687797,0.009259094407687797,High income,Party
Mexico,1.137,0.01137,0.000019821139655507565,0.019821139655507566,0.009910569827753783,0.009910569827753783,Upper middle income,Party
India,1.106,0.01106,0.000020376705052723415,0.020376705052723414,0.010188352526361707,0.010188352526361707,Lower middle income,Party
Switzerland,1.029,0.010289999999999999,0.0000219014925056483,0.0219014925056483,0.01095074625282415,0.01095074625282415,High income,Party
Poland,0.831,0.00831,0.00002711989866222876,0.02711989866222876,0.01355994933111438,0.01355994933111438,High income,Party
Sweden,0.822,0.00822,0.00002741683185926046,0.02741683185926046,0.01370841592963023,0.01370841592963023,High income,Party
Belgium,0.773,0.00773,0.00002915476816081772,0.029154768160817718,0.014577384080408859,0.014577384080408859,High income,Party
Türkiye,0.685,0.00685,0.000032900198231112555,0.03290019823111255,0.016450099115556276,0.016450099115556276,Upper middle income,Party
Norway,0.653,0.00653,0.00003451245909389296,0.03451245909389296,0.01725622954694648,0.01725622954694648,High income,Party
Austria,0.626,0.00626,0.00003600101563628131,0.03600101563628131,0.018000507818140655,0.018000507818140655,High income,Party
Israel,0.609,0.00609,0.00003700597009575057,0.03700597009575057,0.018502985047875287,0.018502985047875287,High income,Party
Indonesia,0.579,0.00579,0.00003892337787273247,0.038923377872732465,0.019461688936366232,0.019461688936366232,Upper middle income,Party
United Arab Emirates,0.574,0.0057399999999999994,0.00003926243168695488,0.039262431686954875,0.019631215843477438,0.019631215843477438,High income,Party
Denmark,0.531,0.0053100000000000005,0.000042441875307555735,0.042441875307555735,0.021220937653777867,0.021220937653777867,High income,Party
Argentina,0.49,0.0049,0.000045993134261861426,0.045993134261861426,0.022996567130930713,0.022996567130930713,Upper middle income,Party
Singapore,0.479,0.00479,0.000047049344025703754,0.04704934402570375,0.023524672012851876,0.023524672012851876,High income,Party
Ireland,0.472,0.004719999999999999,0.00004774710972100021,0.047747109721000214,0.023873554860500107,0.023873554860500107,High income,Party
Finland,0.386,0.00386,0.000058385066809098704,0.058385066809098704,0.029192533404549352,0.029192533404549352,High income,Party
Iran (Islamic Republic of),0.386,0.00386,0.000058385066809098704,0.058385066809098704,0.029192533404549352,0.029192533404549352,Upper middle income,Party
Chile,0.374,0.00374,0.000060258384460727534,0.06025838446072753,0.030129192230363765,0.030129192230363765,High income,Party
Romania,0.358,0.00358,0.00006295149661539693,0.06295149661539692,0.03147574830769846,0.03147574830769846,High income,Party
Czechia,0.344,0.00344,0.00006551347612881424,0.06551347612881424,0.03275673806440712,0.03275673806440712,High income,Party
Thailand,0.341,0.0034100000000000003,0.0000660898410214431,0.06608984102144311,0.033044920510721554,0.033044920510721554,Upper middle income,Party
Portugal,0.328,0.00328,0.00006870925545217104,0.06870925545217105,0.034354627726085524,0.034354627726085524,High income,Party
Malaysia,0.326,0.0032600000000000003,0.00006913078462672423,0.06913078462672423,0.034565392313362114,0.034565392313362114,Upper middle income,Party
New Zealand,0.302,0.00302,0.00007462462181560296,0.07462462181560296,0.03731231090780148,0.03731231090780148,High income,Party
Greece,0.28,0.0028000000000000004,0.00008048798495825748,0.08048798495825749,0.04024399247912874,0.04024399247912874,High income,Party
South Africa,0.251,0.00251,0.00008978739357893267,0.08978739357893266,0.04489369678946633,0.04489369678946633,Upper middle income,Party
Qatar,0.245,0.00245,0.00009198626852372285,0.09198626852372285,0.045993134261861426,0.045993134261861426,High income,Party
Hungary,0.223,0.00223,0.00010106114703278967,0.10106114703278966,0.05053057351639483,0.05053057351639483,High income,Party
Kuwait,0.222,0.00222,0.00010151637742482927,0.10151637742482927,0.05075818871241464,0.05075818871241464,High income,Party
Philippines,0.198,0.00198,0.00011382139287026313,0.11382139287026312,0.05691069643513156,0.05691069643513156,Lower middle income,Party
Colombia,0.197,0.00197,0.00011439916643813248,0.11439916643813249,0.05719958321906624,0.05719958321906624,Upper middle income,Party
Egypt,0.182,0.00182,0.00012382766916655,0.12382766916655,0.061913834583275,0.061913834583275,Lower middle income,Party
Vietnam,0.159,0.00159,0.00014173984772523332,0.14173984772523332,0.07086992386261666,0.07086992386261666,Lower middle income,Party
Nigeria,0.15,0.0015,0.00015024423858874732,0.1502442385887473,0.07512211929437365,0.07512211929437365,Lower middle income,Party
Slovak Republic,0.149,0.00149,0.00015125258918330267,0.15125258918330267,0.07562629459165134,0.07562629459165134,High income,Party
Peru,0.145,0.00145,0.0001554250744021524,0.15542507440215242,0.07771253720107621,0.07771253720107621,Upper middle income,Party
Iraq,0.131,0.00131,0.00017203538769703893,0.17203538769703894,0.08601769384851947,0.08601769384851947,Upper middle income,Party
Kazakhstan,0.131,0.00131,0.00017203538769703893,0.17203538769703894,0.08601769384851947,0.08601769384851947,Upper middle income,Party
Pakistan,0.123,0.00123,0.00018322468120578943,0.18322468120578944,0.09161234060289472,0.09161234060289472,Lower middle income,Party
Cuba,0.122,0.00122,0.0001847265228550172,0.1847265228550172,0.0923632614275086,0.0923632614275086,Upper middle income,Party
Oman,0.115,0.00115,0.0001959707459853226,0.1959707459853226,0.0979853729926613,0.0979853729926613,High income,Party
Croatia,0.088,0.0008799999999999999,0.0002560981339580921,0.25609813395809206,0.12804906697904603,0.12804906697904603,High income,Party
Algeria,0.087,0.0008699999999999999,0.00025904179067025404,0.259041790670254,0.129520895335127,0.129520895335127,Upper middle income,Party
Panama,0.086,0.00086,0.00026205390451525696,0.26205390451525695,0.13102695225762848,0.13102695225762848,High income,Party
Lithuania,0.081,0.0008100000000000001,0.0002782300714606432,0.2782300714606432,0.1391150357303216,0.1391150357303216,High income,Party
Uruguay,0.079,0.00079,0.0002852738707381278,0.28527387073812777,0.14263693536906388,0.14263693536906388,High income,Party
Slovenia,0.077,0.00077,0.0002926835816663909,0.29268358166639086,0.14634179083319543,0.14634179083319543,High income,Party
Ukraine,0.074,0.00074,0.00030454913227448785,0.3045491322744879,0.15227456613724394,0.15227456613724394,Upper middle income,Party
Luxembourg,0.073,0.00073,0.0003087210381960562,0.30872103819605623,0.15436051909802811,0.15436051909802811,High income,Party
Bulgaria,0.071,0.0007099999999999999,0.0003174174054691845,0.3174174054691845,0.15870870273459226,0.15870870273459226,High income,Party
Dominican Republic,0.069,0.0006900000000000001,0.00032661790997553765,0.32661790997553763,0.16330895498776882,0.16330895498776882,Upper middle income,Party
"Venezuela, RB",0.069,0.0006900000000000001,0.00032661790997553765,0.32661790997553763,0.16330895498776882,0.16330895498776882,Not Available,Party
Ecuador,0.065,0.00065,0.00034671747366634,0.34671747366634,0.17335873683317,0.17335873683317,Upper middle income,Party
Costa Rica,0.063,0.00063,0.00035772437759225555,0.35772437759225556,0.17886218879612778,0.17886218879612778,High income,Party
Morocco,0.059,0.0005899999999999999,0.0003819768777680017,0.3819768777680017,0.19098843888400086,0.19098843888400086,Lower middle income,Party
Bahrain,0.05,0.0005,0.000450732715766242,0.450732715766242,0.225366357883121,0.225366357883121,High income,Party
Latvia,0.05,0.0005,0.000450732715766242,0.450732715766242,0.225366357883121,0.225366357883121,High income,Party
Guatemala,0.046,0.00046,0.0004899268649633065,0.4899268649633065,0.24496343248165325,0.24496343248165325,Upper middle income,Party
Estonia,0.045,0.00045,0.0005008141286291577,0.5008141286291578,0.2504070643145789,0.2504070643145789,High income,Party
Belarus,0.043,0.00043,0.0005241078090305139,0.5241078090305139,0.26205390451525695,0.26205390451525695,Upper middle income,Party
Libya,0.04,0.0004,0.0005634158947078025,0.5634158947078024,0.2817079473539012,0.2817079473539012,Upper middle income,Party
Serbia,0.04,0.0004,0.0005634158947078025,0.5634158947078024,0.2817079473539012,0.2817079473539012,Upper middle income,Party
Sri Lanka,0.038,0.00037999999999999997,0.0005930693628503185,0.5930693628503184,0.2965346814251592,0.2965346814251592,Lower middle income,Party
