b1_b6_floor,gini,spread,w1,w2,w3,w4,w5,w6,b1_mean_m,b6_mean_m,ldc_total_m,sids_total_m
1.125,0.00512189,0.1,0.9,0.8992,0.8936,0.8784,0.8488,0.8,7.09117,6.30326,311.816,275.944
1.25,0.00927092,0.09,0.45,0.44928,0.44424,0.43056,0.40392,0.36,7.1308,5.70464,313.401,276.994
1.375,0.0127002,0.16125,0.59125,0.58996,0.58093,0.55642,0.50869,0.43,7.16355,5.20985,314.712,277.862
1.5,0.0155821,0.305,0.915,0.91256,0.89548,0.84912,0.75884,0.61,7.19107,4.79405,315.813,278.592
1.625,0.018038,0.39375,1.02375,1.0206,0.99855,0.9387,0.82215,0.63,7.21453,4.43971,316.751,279.213
1.75,0.0201559,0.54,1.26,1.25568,1.22544,1.14336,0.98352,0.72,7.23475,4.13414,317.56,279.749
1.875,0.022001,0.5075,1.0875,1.08344,1.05502,0.97788,0.82766,0.58,7.25237,3.86793,318.265,280.216
2,0.0236228,0.9,1.8,1.7928,1.7424,1.6056,1.3392,0.9,7.26786,3.63393,318.885,280.627
2.125,0.0250596,0.64125,1.21125,1.20612,1.17021,1.07274,0.88293,0.57,7.28159,3.42663,319.434,280.99
2.25,0.0263413,1.0875,1.9575,1.9488,1.8879,1.7226,1.4007,0.87,7.29383,3.2417,319.923,281.315
2.375,0.0274918,0.81125,1.40125,1.39476,1.34933,1.22602,0.98589,0.59,7.30482,3.07571,320.363,281.606
2.5,0.0285302,1.08,1.8,1.79136,1.73088,1.56672,1.24704,0.72,7.31473,2.92589,320.76,281.869
2.625,0.0294721,0.6825,1.1025,1.09704,1.05882,0.95508,0.75306,0.42,7.32373,2.78999,321.12,282.107
2.75,0.0303304,0.7525,1.1825,1.17648,1.13434,1.01996,0.79722,0.43,7.33193,2.66615,321.448,282.324
2.875,0.0311158,0.61875,0.94875,0.9438,0.90915,0.8151,0.63195,0.33,7.33943,2.55284,321.748,282.523
3,0.0318371,0.6,0.9,0.8952,0.8616,0.7704,0.5928,0.3,7.34632,2.44877,322.023,282.706
3.125,0.0325019,1.19,1.75,1.74048,1.67384,1.49296,1.14072,0.56,7.35266,2.35285,322.277,282.874
3.25,0.0331166,1.035,1.495,1.48672,1.42876,1.27144,0.96508,0.46,7.35853,2.26416,322.512,283.03
3.375,0.0336866,0.97375,1.38375,1.37596,1.32143,1.17342,0.88519,0.41,7.36398,2.18192,322.73,283.174
3.5,0.0342167,1,1.4,1.392,1.336,1.184,0.888,0.4,7.36904,2.10544,322.932,283.308
3.625,0.0347108,0.8925,1.2325,1.22536,1.17538,1.03972,0.77554,0.34,7.37376,2.03414,323.121,283.433
3.75,0.0351726,1.0725,1.4625,1.45392,1.39386,1.23084,0.91338,0.39,7.37817,1.96751,323.298,283.55
3.875,0.0356051,1.17875,1.58875,1.57932,1.51331,1.33414,0.98523,0.41,7.3823,1.90511,323.463,283.659
4,0.0360111,1.35,1.8,1.7892,1.7136,1.5084,1.1088,0.45,7.38618,1.84654,323.618,283.762
