target_ratio,band,weight,n,n_ldc,n_sids,mean_alloc_m,total_alloc_m
1,Band 1,1.0025,31,13,22,7.05143,218.594
1,Band 2,1.0015,59,31,11,7.0444,415.619
1,Band 3,1.0005,30,0,4,7.03736,211.121
1,Band 4,0.99975,18,0,2,7.03209,126.578
1,Band 5,0.99875,3,0,0,7.02505,21.0752
1,Band 6,0.997,1,0,0,7.01274,7.01274
1.25,Band 1,1.1025,31,13,22,7.40133,229.441
1.25,Band 2,1.0615,59,31,11,7.12609,420.439
1.25,Band 3,1.0205,30,0,4,6.85084,205.525
1.25,Band 4,0.98975,18,0,2,6.64441,119.599
1.25,Band 5,0.94875,3,0,0,6.36917,19.1075
1.25,Band 6,0.877,1,0,0,5.8875,5.8875
1.5,Band 1,1.18,31,13,22,7.65131,237.191
1.5,Band 2,1.108,59,31,11,7.18445,423.882
1.5,Band 3,1.036,30,0,4,6.71759,201.528
1.5,Band 4,0.982,18,0,2,6.36744,114.614
1.5,Band 5,0.91,3,0,0,5.90058,17.7018
1.5,Band 6,0.784,1,0,0,5.08358,5.08358
1.75,Band 1,1.2425,31,13,22,7.84081,243.065
1.75,Band 2,1.1455,59,31,11,7.22869,426.493
1.75,Band 3,1.0485,30,0,4,6.61657,198.497
1.75,Band 4,0.97575,18,0,2,6.15748,110.835
1.75,Band 5,0.87875,3,0,0,5.54536,16.6361
1.75,Band 6,0.709,1,0,0,4.47415,4.47415
2,Band 1,1.295,31,13,22,7.99232,247.762
2,Band 2,1.177,59,31,11,7.26406,428.58
2,Band 3,1.059,30,0,4,6.53581,196.074
2,Band 4,0.9705,18,0,2,5.98961,107.813
2,Band 5,0.8525,3,0,0,5.26136,15.7841
2,Band 6,0.646,1,0,0,3.9869,3.9869
2.5,Band 1,1.375,31,13,22,8.21079,254.535
2.5,Band 2,1.225,59,31,11,7.31507,431.589
2.5,Band 3,1.075,30,0,4,6.41935,192.58
2.5,Band 4,0.9625,18,0,2,5.74756,103.456
2.5,Band 5,0.8125,3,0,0,4.85183,14.5555
2.5,Band 6,0.55,1,0,0,3.28432,3.28432
3,Band 1,1.435,31,13,22,8.36557,259.333
3,Band 2,1.261,59,31,11,7.35121,433.721
3,Band 3,1.087,30,0,4,6.33684,190.105
3,Band 4,0.9565,18,0,2,5.57607,100.369
3,Band 5,0.7825,3,0,0,4.56171,13.6851
3,Band 6,0.478,1,0,0,2.78658,2.78658
3.5,Band 1,1.4825,31,13,22,8.48298,262.972
3.5,Band 2,1.2895,59,31,11,7.37862,435.338
3.5,Band 3,1.0965,30,0,4,6.27426,188.228
3.5,Band 4,0.95175,18,0,2,5.44599,98.0277
3.5,Band 5,0.75875,3,0,0,4.34163,13.0249
3.5,Band 6,0.421,1,0,0,2.40899,2.40899
