t,w1,w2,w3,w4,w5,w6,spread,b1_b6_ratio,b1_b5_ratio,b1_b4_ratio,gini,b1_mean_m,b6_mean_m,ldc_total_m,sids_total_m,b1_total_m
0,1.5,1.3,1.1,0.95,0.75,0.4,1.1,3.75,2,1.57895,0.0872507,8.52515,2.27337,339.869,304.632,264.28
0.005,1.4975,1.2985,1.0995,0.95025,0.75125,0.403,1.0945,3.71588,1.99334,1.5759,0.0868983,8.51916,2.29264,339.748,304.511,264.094
0.01,1.495,1.297,1.099,0.9505,0.7525,0.406,1.089,3.68227,1.98671,1.57286,0.0865452,8.51316,2.31193,339.627,304.39,263.908
0.015,1.4925,1.2955,1.0985,0.95075,0.75375,0.409,1.0835,3.64914,1.9801,1.56981,0.0861914,8.50715,2.33127,339.505,304.268,263.722
0.02,1.49,1.294,1.098,0.951,0.755,0.412,1.078,3.6165,1.97351,1.56677,0.0858369,8.50112,2.35065,339.383,304.146,263.535
0.025,1.4875,1.2925,1.0975,0.95125,0.75625,0.415,1.0725,3.58434,1.96694,1.56373,0.0854818,8.49508,2.37006,339.261,304.024,263.348
0.03,1.485,1.291,1.097,0.9515,0.7575,0.418,1.067,3.55263,1.9604,1.56069,0.0851259,8.48904,2.38951,339.138,303.902,263.16
0.035,1.4825,1.2895,1.0965,0.95175,0.75875,0.421,1.0615,3.52138,1.95387,1.55766,0.0847694,8.48298,2.40899,339.016,303.779,262.972
0.04,1.48,1.288,1.096,0.952,0.76,0.424,1.056,3.49057,1.94737,1.55462,0.0844122,8.47691,2.42852,338.893,303.657,262.784
0.045,1.4775,1.2865,1.0955,0.95225,0.76125,0.427,1.0505,3.46019,1.94089,1.55159,0.0840542,8.47082,2.44808,338.77,303.534,262.596
0.05,1.475,1.285,1.095,0.9525,0.7625,0.43,1.045,3.43023,1.93443,1.54856,0.0836956,8.46473,2.46768,338.647,303.41,262.407
0.055,1.4725,1.2835,1.0945,0.95275,0.76375,0.433,1.0395,3.40069,1.92799,1.54553,0.0833363,8.45862,2.48732,338.523,303.287,262.217
0.06,1.47,1.282,1.094,0.953,0.765,0.436,1.034,3.37156,1.92157,1.5425,0.0829763,8.4525,2.507,338.399,303.163,262.028
0.065,1.4675,1.2805,1.0935,0.95325,0.76625,0.439,1.0285,3.34282,1.91517,1.53947,0.0826156,8.44637,2.52672,338.275,303.039,261.838
0.07,1.465,1.279,1.093,0.9535,0.7675,0.442,1.023,3.31448,1.90879,1.53644,0.0822541,8.44023,2.54647,338.151,302.915,261.647
0.075,1.4625,1.2775,1.0925,0.95375,0.76875,0.445,1.0175,3.28652,1.90244,1.53342,0.081892,8.43407,2.56627,338.026,302.79,261.456
0.08,1.46,1.276,1.092,0.954,0.77,0.448,1.012,3.25893,1.8961,1.5304,0.0815291,8.42791,2.5861,337.901,302.666,261.265
0.085,1.4575,1.2745,1.0915,0.95425,0.77125,0.451,1.0065,3.23171,1.88979,1.52738,0.0811656,8.42173,2.60597,337.776,302.541,261.074
0.09,1.455,1.273,1.091,0.9545,0.7725,0.454,1.001,3.20485,1.8835,1.52436,0.0808013,8.41554,2.62588,337.651,302.416,260.882
0.095,1.4525,1.2715,1.0905,0.95475,0.77375,0.457,0.9955,3.17834,1.87722,1.52134,0.0804363,8.40933,2.64583,337.525,302.29,260.689
0.1,1.45,1.27,1.09,0.955,0.775,0.46,0.99,3.15217,1.87097,1.51832,0.0800706,8.40312,2.66582,337.4,302.165,260.497
0.105,1.4475,1.2685,1.0895,0.95525,0.77625,0.463,0.9845,3.12635,1.86473,1.51531,0.0797042,8.39689,2.68584,337.274,302.039,260.304
0.11,1.445,1.267,1.089,0.9555,0.7775,0.466,0.979,3.10086,1.85852,1.5123,0.079337,8.39065,2.70591,337.147,301.912,260.11
0.115,1.4425,1.2655,1.0885,0.95575,0.77875,0.469,0.9735,3.07569,1.85233,1.50929,0.0789692,8.3844,2.72602,337.021,301.786,259.916
0.12,1.44,1.264,1.088,0.956,0.78,0.472,0.968,3.05085,1.84615,1.50628,0.0786006,8.37813,2.74617,336.894,301.659,259.722
0.125,1.4375,1.2625,1.0875,0.95625,0.78125,0.475,0.9625,3.02632,1.84,1.50327,0.0782312,8.37186,2.76635,336.767,301.532,259.528
0.13,1.435,1.261,1.087,0.9565,0.7825,0.478,0.957,3.00209,1.83387,1.50026,0.0778612,8.36557,2.78658,336.64,301.405,259.333
0.135,1.4325,1.2595,1.0865,0.95675,0.78375,0.481,0.9515,2.97817,1.82775,1.49726,0.0774904,8.35926,2.80685,336.512,301.278,259.137
0.14,1.43,1.258,1.086,0.957,0.785,0.484,0.946,2.95455,1.82166,1.49425,0.0771188,8.35295,2.82715,336.384,301.15,258.941
0.145,1.4275,1.2565,1.0855,0.95725,0.78625,0.487,0.9405,2.93121,1.81558,1.49125,0.0767466,8.34662,2.8475,336.256,301.022,258.745
0.15,1.425,1.255,1.085,0.9575,0.7875,0.49,0.935,2.90816,1.80952,1.48825,0.0763736,8.34028,2.86789,336.128,300.894,258.549
0.155,1.4225,1.2535,1.0845,0.95775,0.78875,0.493,0.9295,2.8854,1.80349,1.48525,0.0759998,8.33393,2.88832,336,300.766,258.352
0.16,1.42,1.252,1.084,0.958,0.79,0.496,0.924,2.8629,1.79747,1.48225,0.0756253,8.32757,2.90878,335.871,300.637,258.155
0.165,1.4175,1.2505,1.0835,0.95825,0.79125,0.499,0.9185,2.84068,1.79147,1.47926,0.0752501,8.32119,2.92929,335.742,300.508,257.957
0.17,1.415,1.249,1.083,0.9585,0.7925,0.502,0.913,2.81873,1.78549,1.47626,0.0748741,8.3148,2.94984,335.612,300.379,257.759
0.175,1.4125,1.2475,1.0825,0.95875,0.79375,0.505,0.9075,2.79703,1.77953,1.47327,0.0744974,8.3084,2.97044,335.483,300.249,257.56
0.18,1.41,1.246,1.082,0.959,0.795,0.508,0.902,2.77559,1.77358,1.47028,0.0741199,8.30198,2.99107,335.353,300.12,257.361
0.185,1.4075,1.2445,1.0815,0.95925,0.79625,0.511,0.8965,2.7544,1.76766,1.46729,0.0737416,8.29555,3.01174,335.223,299.99,257.162
0.19,1.405,1.243,1.081,0.9595,0.7975,0.514,0.891,2.73346,1.76176,1.4643,0.0733626,8.28911,3.03246,335.092,299.859,256.962
0.195,1.4025,1.2415,1.0805,0.95975,0.79875,0.517,0.8855,2.71277,1.75587,1.46132,0.0729828,8.28266,3.05321,334.962,299.729,256.762
0.2,1.4,1.24,1.08,0.96,0.8,0.52,0.88,2.69231,1.75,1.45833,0.0726023,8.27619,3.07401,334.831,299.598,256.562
0.205,1.3975,1.2385,1.0795,0.96025,0.80125,0.523,0.8745,2.67208,1.74415,1.45535,0.072221,8.26971,3.09485,334.7,299.467,256.361
0.21,1.395,1.237,1.079,0.9605,0.8025,0.526,0.869,2.65209,1.73832,1.45237,0.071839,8.26321,3.11574,334.568,299.336,256.16
0.215,1.3925,1.2355,1.0785,0.96075,0.80375,0.529,0.8635,2.63233,1.7325,1.44939,0.0714561,8.25671,3.13666,334.437,299.204,255.958
0.22,1.39,1.234,1.078,0.961,0.805,0.532,0.858,2.61278,1.72671,1.44641,0.0710725,8.25019,3.15763,334.305,299.072,255.756
0.225,1.3875,1.2325,1.0775,0.96125,0.80625,0.535,0.8525,2.59346,1.72093,1.44343,0.0706882,8.24366,3.17863,334.173,298.94,255.553
0.23,1.385,1.231,1.077,0.9615,0.8075,0.538,0.847,2.57435,1.71517,1.44046,0.070303,8.23711,3.19969,334.04,298.808,255.35
0.235,1.3825,1.2295,1.0765,0.96175,0.80875,0.541,0.8415,2.55545,1.70943,1.43748,0.0699171,8.23055,3.22078,333.907,298.675,255.147
0.24,1.38,1.228,1.076,0.962,0.81,0.544,0.836,2.53676,1.7037,1.43451,0.0695304,8.22398,3.24192,333.774,298.542,254.943
0.245,1.3775,1.2265,1.0755,0.96225,0.81125,0.547,0.8305,2.51828,1.698,1.43154,0.0691429,8.21739,3.2631,333.641,298.409,254.739
0.25,1.375,1.225,1.075,0.9625,0.8125,0.55,0.825,2.5,1.69231,1.42857,0.0687546,8.21079,3.28432,333.508,298.276,254.535
0.255,1.3725,1.2235,1.0745,0.96275,0.81375,0.553,0.8195,2.48192,1.68664,1.4256,0.0683656,8.20418,3.30558,333.374,298.142,254.33
0.26,1.37,1.222,1.074,0.963,0.815,0.556,0.814,2.46403,1.68098,1.42264,0.0679757,8.19756,3.32689,333.24,298.008,254.124
0.265,1.3675,1.2205,1.0735,0.96325,0.81625,0.559,0.8085,2.44633,1.67534,1.41967,0.0675851,8.19092,3.34824,333.105,297.874,253.918
0.27,1.365,1.219,1.073,0.9635,0.8175,0.562,0.803,2.42883,1.66972,1.41671,0.0671936,8.18426,3.36964,332.971,297.739,253.712
0.275,1.3625,1.2175,1.0725,0.96375,0.81875,0.565,0.7975,2.4115,1.66412,1.41375,0.0668014,8.1776,3.39108,332.836,297.604,253.505
0.28,1.36,1.216,1.072,0.964,0.82,0.568,0.792,2.39437,1.65854,1.41079,0.0664083,8.17092,3.41256,332.7,297.469,253.298
0.285,1.3575,1.2145,1.0715,0.96425,0.82125,0.571,0.7865,2.37741,1.65297,1.40783,0.0660145,8.16422,3.43409,332.565,297.334,253.091
0.29,1.355,1.213,1.071,0.9645,0.8225,0.574,0.781,2.36063,1.64742,1.40487,0.0656198,8.15752,3.45566,332.429,297.198,252.883
0.295,1.3525,1.2115,1.0705,0.96475,0.82375,0.577,0.7755,2.34402,1.64188,1.40192,0.0652244,8.15079,3.47727,332.293,297.063,252.675
0.3,1.35,1.21,1.07,0.965,0.825,0.58,0.77,2.32759,1.63636,1.39896,0.0648281,8.14406,3.49893,332.157,296.926,252.466
0.305,1.3475,1.2085,1.0695,0.96525,0.82625,0.583,0.7645,2.31132,1.63086,1.39601,0.064431,8.13731,3.52063,332.02,296.79,252.257
0.31,1.345,1.207,1.069,0.9655,0.8275,0.586,0.759,2.29522,1.62538,1.39306,0.0640331,8.13055,3.54238,331.884,296.653,252.047
0.315,1.3425,1.2055,1.0685,0.96575,0.82875,0.589,0.7535,2.27929,1.61991,1.39011,0.0636344,8.12377,3.56417,331.746,296.516,251.837
0.32,1.34,1.204,1.068,0.966,0.83,0.592,0.748,2.26351,1.61446,1.38716,0.0632349,8.11698,3.58601,331.609,296.379,251.626
0.325,1.3375,1.2025,1.0675,0.96625,0.83125,0.595,0.7425,2.2479,1.60902,1.38422,0.0628346,8.11018,3.60789,331.471,296.241,251.415
0.33,1.335,1.201,1.067,0.9665,0.8325,0.598,0.737,2.23244,1.6036,1.38127,0.0624334,8.10336,3.62982,331.333,296.103,251.204
0.335,1.3325,1.1995,1.0665,0.96675,0.83375,0.601,0.7315,2.21714,1.5982,1.37833,0.0620314,8.09653,3.65179,331.195,295.965,250.992
0.34,1.33,1.198,1.066,0.967,0.835,0.604,0.726,2.20199,1.59281,1.37539,0.0616285,8.08968,3.67381,331.056,295.827,250.78
0.345,1.3275,1.1965,1.0655,0.96725,0.83625,0.607,0.7205,2.18699,1.58744,1.37245,0.0612249,8.08282,3.69587,330.918,295.688,250.567
0.35,1.325,1.195,1.065,0.9675,0.8375,0.61,0.715,2.17213,1.58209,1.36951,0.0608204,8.07594,3.71798,330.778,295.549,250.354
0.355,1.3225,1.1935,1.0645,0.96775,0.83875,0.613,0.7095,2.15742,1.57675,1.36657,0.060415,8.06906,3.74014,330.639,295.41,250.141
0.36,1.32,1.192,1.064,0.968,0.84,0.616,0.704,2.14286,1.57143,1.36364,0.0600088,8.06215,3.76234,330.499,295.27,249.927
0.365,1.3175,1.1905,1.0635,0.96825,0.84125,0.619,0.6985,2.12843,1.56612,1.3607,0.0596018,8.05523,3.78458,330.359,295.13,249.712
0.37,1.315,1.189,1.063,0.9685,0.8425,0.622,0.693,2.11415,1.56083,1.35777,0.0591939,8.0483,3.80688,330.219,294.99,249.497
0.375,1.3125,1.1875,1.0625,0.96875,0.84375,0.625,0.6875,2.1,1.55556,1.35484,0.0587852,8.04136,3.82922,330.078,294.85,249.282
0.38,1.31,1.186,1.062,0.969,0.845,0.628,0.682,2.08599,1.5503,1.35191,0.0583757,8.03439,3.8516,329.938,294.709,249.066
0.385,1.3075,1.1845,1.0615,0.96925,0.84625,0.631,0.6765,2.07211,1.54505,1.34898,0.0579652,8.02742,3.87404,329.796,294.568,248.85
0.39,1.305,1.183,1.061,0.9695,0.8475,0.634,0.671,2.05836,1.53982,1.34605,0.0575539,8.02043,3.89651,329.655,294.427,248.633
0.395,1.3025,1.1815,1.0605,0.96975,0.84875,0.637,0.6655,2.04474,1.53461,1.34313,0.0571418,8.01342,3.91904,329.513,294.285,248.416
0.4,1.3,1.18,1.06,0.97,0.85,0.64,0.66,2.03125,1.52941,1.34021,0.0567288,8.00641,3.94161,329.371,294.143,248.199
0.405,1.2975,1.1785,1.0595,0.97025,0.85125,0.643,0.6545,2.01788,1.52423,1.33728,0.0563149,7.99937,3.96424,329.229,294.001,247.981
0.41,1.295,1.177,1.059,0.9705,0.8525,0.646,0.649,2.00464,1.51906,1.33436,0.0559002,7.99232,3.9869,329.086,293.858,247.762
0.415,1.2925,1.1755,1.0585,0.97075,0.85375,0.649,0.6435,1.99153,1.51391,1.33144,0.0554846,7.98526,4.00962,328.943,293.715,247.543
0.42,1.29,1.174,1.058,0.971,0.855,0.652,0.638,1.97853,1.50877,1.32853,0.0550681,7.97818,4.03238,328.8,293.572,247.324
0.425,1.2875,1.1725,1.0575,0.97125,0.85625,0.655,0.6325,1.96565,1.50365,1.32561,0.0546508,7.97109,4.05519,328.656,293.429,247.104
0.43,1.285,1.171,1.057,0.9715,0.8575,0.658,0.627,1.95289,1.49854,1.3227,0.0542326,7.96398,4.07805,328.513,293.285,246.883
0.435,1.2825,1.1695,1.0565,0.97175,0.85875,0.661,0.6215,1.94024,1.49345,1.31978,0.0538134,7.95686,4.10096,328.368,293.141,246.663
0.44,1.28,1.168,1.056,0.972,0.86,0.664,0.616,1.92771,1.48837,1.31687,0.0533934,7.94972,4.12392,328.224,292.997,246.441
0.445,1.2775,1.1665,1.0555,0.97225,0.86125,0.667,0.6105,1.91529,1.48331,1.31396,0.0529726,7.94256,4.14692,328.079,292.852,246.22
0.45,1.275,1.165,1.055,0.9725,0.8625,0.67,0.605,1.90299,1.47826,1.31105,0.0525508,7.9354,4.16997,327.934,292.707,245.997
0.455,1.2725,1.1635,1.0545,0.97275,0.86375,0.673,0.5995,1.89079,1.47323,1.30815,0.0521281,7.92821,4.19307,327.789,292.562,245.775
0.46,1.27,1.162,1.054,0.973,0.865,0.676,0.594,1.8787,1.46821,1.30524,0.0517046,7.92101,4.21622,327.643,292.416,245.551
0.465,1.2675,1.1605,1.0535,0.97325,0.86625,0.679,0.5885,1.86672,1.4632,1.30234,0.0512801,7.9138,4.23942,327.497,292.271,245.328
0.47,1.265,1.159,1.053,0.9735,0.8675,0.682,0.583,1.85484,1.45821,1.29944,0.0508548,7.90657,4.26267,327.351,292.124,245.104
0.475,1.2625,1.1575,1.0525,0.97375,0.86875,0.685,0.5775,1.84307,1.45324,1.29653,0.0504285,7.89933,4.28597,327.204,291.978,244.879
0.48,1.26,1.156,1.052,0.974,0.87,0.688,0.572,1.8314,1.44828,1.29363,0.0500013,7.89207,4.30932,327.057,291.831,244.654
0.485,1.2575,1.1545,1.0515,0.97425,0.87125,0.691,0.5665,1.81983,1.44333,1.29074,0.0495733,7.88479,4.33272,326.91,291.684,244.429
0.49,1.255,1.153,1.051,0.9745,0.8725,0.694,0.561,1.80836,1.4384,1.28784,0.0491443,7.8775,4.35616,326.762,291.537,244.203
0.495,1.2525,1.1515,1.0505,0.97475,0.87375,0.697,0.5555,1.79699,1.43348,1.28494,0.0487144,7.87019,4.37966,326.615,291.389,243.976
0.5,1.25,1.15,1.05,0.975,0.875,0.7,0.55,1.78571,1.42857,1.28205,0.0482836,7.86287,4.40321,326.466,291.241,243.749
0.505,1.2475,1.1485,1.0495,0.97525,0.87625,0.703,0.5445,1.77454,1.42368,1.27916,0.0478518,7.85553,4.42681,326.318,291.092,243.522
0.51,1.245,1.147,1.049,0.9755,0.8775,0.706,0.539,1.76346,1.4188,1.27627,0.0474192,7.84818,4.45045,326.169,290.944,243.294
0.515,1.2425,1.1455,1.0485,0.97575,0.87875,0.709,0.5335,1.75247,1.41394,1.27338,0.0469856,7.84081,4.47415,326.02,290.795,243.065
0.52,1.24,1.144,1.048,0.976,0.88,0.712,0.528,1.74157,1.40909,1.27049,0.0465511,7.83343,4.4979,325.871,290.645,242.836
0.525,1.2375,1.1425,1.0475,0.97625,0.88125,0.715,0.5225,1.73077,1.40426,1.26761,0.0461156,7.82603,4.5217,325.721,290.496,242.607
0.53,1.235,1.141,1.047,0.9765,0.8825,0.718,0.517,1.72006,1.39943,1.26472,0.0456792,7.81861,4.54556,325.571,290.346,242.377
0.535,1.2325,1.1395,1.0465,0.97675,0.88375,0.721,0.5115,1.70943,1.39463,1.26184,0.0452419,7.81118,4.56946,325.42,290.195,242.146
0.54,1.23,1.138,1.046,0.977,0.885,0.724,0.506,1.6989,1.38983,1.25896,0.0448036,7.80373,4.59341,325.269,290.045,241.916
0.545,1.2275,1.1365,1.0455,0.97725,0.88625,0.727,0.5005,1.68845,1.38505,1.25608,0.0443644,7.79626,4.61742,325.118,289.894,241.684
0.55,1.225,1.135,1.045,0.9775,0.8875,0.73,0.495,1.67808,1.38028,1.2532,0.0439242,7.78878,4.64148,324.967,289.743,241.452
0.555,1.2225,1.1335,1.0445,0.97775,0.88875,0.733,0.4895,1.6678,1.37553,1.25032,0.0434831,7.78128,4.66559,324.815,289.591,241.22
0.56,1.22,1.132,1.044,0.978,0.89,0.736,0.484,1.65761,1.37079,1.24744,0.043041,7.77377,4.68975,324.663,289.439,240.987
0.565,1.2175,1.1305,1.0435,0.97825,0.89125,0.739,0.4785,1.6475,1.36606,1.24457,0.042598,7.76624,4.71396,324.511,289.287,240.753
0.57,1.215,1.129,1.043,0.9785,0.8925,0.742,0.473,1.63747,1.36134,1.2417,0.042154,7.7587,4.73823,324.358,289.134,240.52
0.575,1.2125,1.1275,1.0425,0.97875,0.89375,0.745,0.4675,1.62752,1.35664,1.23883,0.0417091,7.75113,4.76255,324.205,288.981,240.285
0.58,1.21,1.126,1.042,0.979,0.895,0.748,0.462,1.61765,1.35196,1.23596,0.0412632,7.74355,4.78692,324.052,288.828,240.05
0.585,1.2075,1.1245,1.0415,0.97925,0.89625,0.751,0.4565,1.60786,1.34728,1.23309,0.0408163,7.73596,4.81135,323.898,288.675,239.815
0.59,1.205,1.123,1.041,0.9795,0.8975,0.754,0.451,1.59814,1.34262,1.23022,0.0403684,7.72835,4.83583,323.744,288.521,239.579
0.595,1.2025,1.1215,1.0405,0.97975,0.89875,0.757,0.4455,1.58851,1.33797,1.22735,0.0399196,7.72072,4.86036,323.59,288.366,239.342
0.6,1.2,1.12,1.04,0.98,0.9,0.76,0.44,1.57895,1.33333,1.22449,0.0394698,7.71307,4.88495,323.435,288.212,239.105
0.605,1.1975,1.1185,1.0395,0.98025,0.90125,0.763,0.4345,1.56946,1.32871,1.22163,0.039019,7.70541,4.90959,323.28,288.057,238.868
0.61,1.195,1.117,1.039,0.9805,0.9025,0.766,0.429,1.56005,1.3241,1.21877,0.0385672,7.69773,4.93428,323.124,287.902,238.63
0.615,1.1925,1.1155,1.0385,0.98075,0.90375,0.769,0.4235,1.55072,1.3195,1.21591,0.0381144,7.69004,4.95903,322.969,287.746,238.391
0.62,1.19,1.114,1.038,0.981,0.905,0.772,0.418,1.54145,1.31492,1.21305,0.0376606,7.68233,4.98383,322.813,287.59,238.152
0.625,1.1875,1.1125,1.0375,0.98125,0.90625,0.775,0.4125,1.53226,1.31034,1.21019,0.0372059,7.6746,5.00868,322.656,287.434,237.913
0.63,1.185,1.111,1.037,0.9815,0.9075,0.778,0.407,1.52314,1.30579,1.20734,0.0367501,7.66685,5.0336,322.499,287.277,237.672
0.635,1.1825,1.1095,1.0365,0.98175,0.90875,0.781,0.4015,1.51408,1.30124,1.20448,0.0362933,7.65909,5.05856,322.342,287.12,237.432
0.64,1.18,1.108,1.036,0.982,0.91,0.784,0.396,1.5051,1.2967,1.20163,0.0358356,7.65131,5.08358,322.185,286.963,237.191
0.645,1.1775,1.1065,1.0355,0.98225,0.91125,0.787,0.3905,1.49619,1.29218,1.19878,0.0353768,7.64351,5.10866,322.027,286.805,236.949
0.65,1.175,1.105,1.035,0.9825,0.9125,0.79,0.385,1.48734,1.28767,1.19593,0.034917,7.6357,5.13379,321.869,286.647,236.707
0.655,1.1725,1.1035,1.0345,0.98275,0.91375,0.793,0.3795,1.47856,1.28317,1.19308,0.0344562,7.62786,5.15897,321.71,286.489,236.464
0.66,1.17,1.102,1.034,0.983,0.915,0.796,0.374,1.46985,1.27869,1.19023,0.0339944,7.62002,5.18422,321.552,286.33,236.22
0.665,1.1675,1.1005,1.0335,0.98325,0.91625,0.799,0.3685,1.4612,1.27422,1.18739,0.0335315,7.61215,5.20951,321.392,286.171,235.977
0.67,1.165,1.099,1.033,0.9835,0.9175,0.802,0.363,1.45262,1.26975,1.18454,0.0330677,7.60426,5.23487,321.233,286.012,235.732
0.675,1.1625,1.0975,1.0325,0.98375,0.91875,0.805,0.3575,1.4441,1.26531,1.1817,0.0326028,7.59636,5.26028,321.073,285.852,235.487
0.68,1.16,1.096,1.032,0.984,0.92,0.808,0.352,1.43564,1.26087,1.17886,0.0321368,7.58844,5.28574,320.913,285.692,235.242
0.685,1.1575,1.0945,1.0315,0.98425,0.92125,0.811,0.3465,1.42725,1.25645,1.17602,0.0316699,7.58051,5.31127,320.752,285.531,234.996
0.69,1.155,1.093,1.031,0.9845,0.9225,0.814,0.341,1.41892,1.25203,1.17318,0.0312018,7.57255,5.33685,320.591,285.371,234.749
