b1_b6_floor,w1,w2,w3,w4,w5,w6,gini,spread,b1_b6_ratio
1.125,0.9,0.8992,0.8936,0.8784,0.8488,0.8,0.00512189,0.1,1.125
1.25,0.45,0.44928,0.44424,0.43056,0.40392,0.36,0.00927092,0.09,1.25
1.375,0.59125,0.58996,0.58093,0.55642,0.50869,0.43,0.0127002,0.16125,1.375
1.5,0.915,0.91256,0.89548,0.84912,0.75884,0.61,0.0155821,0.305,1.5
1.625,1.02375,1.0206,0.99855,0.9387,0.82215,0.63,0.018038,0.39375,1.625
1.75,1.26,1.25568,1.22544,1.14336,0.98352,0.72,0.0201559,0.54,1.75
1.875,1.0875,1.08344,1.05502,0.97788,0.82766,0.58,0.022001,0.5075,1.875
2,1.8,1.7928,1.7424,1.6056,1.3392,0.9,0.0236228,0.9,2
2.125,1.21125,1.20612,1.17021,1.07274,0.88293,0.57,0.0250596,0.64125,2.125
2.25,1.9575,1.9488,1.8879,1.7226,1.4007,0.87,0.0263413,1.0875,2.25
2.375,1.40125,1.39476,1.34933,1.22602,0.98589,0.59,0.0274918,0.81125,2.375
2.5,1.8,1.79136,1.73088,1.56672,1.24704,0.72,0.0285302,1.08,2.5
2.625,1.1025,1.09704,1.05882,0.95508,0.75306,0.42,0.0294721,0.6825,2.625
2.75,1.1825,1.17648,1.13434,1.01996,0.79722,0.43,0.0303304,0.7525,2.75
2.875,0.94875,0.9438,0.90915,0.8151,0.63195,0.33,0.0311158,0.61875,2.875
3,0.9,0.8952,0.8616,0.7704,0.5928,0.3,0.0318371,0.6,3
3.125,1.75,1.74048,1.67384,1.49296,1.14072,0.56,0.0325019,1.19,3.125
3.25,1.495,1.48672,1.42876,1.27144,0.96508,0.46,0.0331166,1.035,3.25
3.375,1.38375,1.37596,1.32143,1.17342,0.88519,0.41,0.0336866,0.97375,3.375
3.5,1.4,1.392,1.336,1.184,0.888,0.4,0.0342167,1,3.5
3.625,1.2325,1.22536,1.17538,1.03972,0.77554,0.34,0.0347108,0.8925,3.625
3.75,1.4625,1.45392,1.39386,1.23084,0.91338,0.39,0.0351726,1.0725,3.75
3.875,1.58875,1.57932,1.51331,1.33414,0.98523,0.41,0.0356051,1.17875,3.875
4,1.8,1.7892,1.7136,1.5084,1.1088,0.45,0.0360111,1.35,4
