profile,w1,w2,w3,w4,w5,w6,spread,b1_b6_ratio,gini,n_eligible,monotonic,Band 1_mean,Band 2_mean,Band 3_mean,Band 4_mean,Band 5_mean,Band 6_mean,Band 1_n,Band 2_n,Band 3_n,Band 4_n,Band 5_n,Band 6_n
Current (1.50→0.40),1.5,1.3,1.1,0.95,0.75,0.4,1.1,3.75,0.0872507,142,True,8.52515,7.38846,6.25178,5.39926,4.26257,2.27337,31,59,30,18,3,1
Moderate (1.25→0.75),1.25,1.15,1.05,0.95,0.85,0.75,0.5,1.66667,0.0508908,142,True,7.88644,7.25552,6.62461,5.99369,5.36278,4.73186,31,59,30,18,3,1
Flat-linear (1.20→0.80),1.2,1.12,1.04,0.96,0.88,0.8,0.4,1.5,0.0415783,142,True,7.73196,7.21649,6.70103,6.18557,5.6701,5.15464,31,59,30,18,3,1
Near-flat (1.10→0.90),1.1,1.06,1.02,0.98,0.94,0.9,0.2,1.22222,0.0217125,142,True,7.40242,7.13324,6.86406,6.59489,6.32571,6.05653,31,59,30,18,3,1
Minimal (1.05→0.95),1.05,1.03,1.01,0.99,0.97,0.95,0.1,1.10526,0.0111028,142,True,7.22643,7.08878,6.95114,6.81349,6.67584,6.5382,31,59,30,18,3,1
Equality (1.00→1.00),1,1,1,1,1,1,0,1,0,142,False,7.04225,7.04225,7.04225,7.04225,7.04225,7.04225,31,59,30,18,3,1
t=0.05,1.475,1.285,1.095,0.9525,0.7625,0.43,1.045,3.43023,0.0836956,142,True,8.46473,7.37436,6.28398,5.46621,4.37583,2.46768,31,59,30,18,3,1
t=0.10,1.45,1.27,1.09,0.955,0.775,0.46,0.99,3.15217,0.0800706,142,True,8.40312,7.35997,6.31683,5.53447,4.49132,2.66582,31,59,30,18,3,1
t=0.15,1.425,1.255,1.085,0.9575,0.7875,0.49,0.935,2.90816,0.0763736,142,True,8.34028,7.3453,6.35032,5.60409,4.6091,2.86789,31,59,30,18,3,1
t=0.20,1.4,1.24,1.08,0.96,0.8,0.52,0.88,2.69231,0.0726023,142,True,8.27619,7.33034,6.38449,5.6751,4.72925,3.07401,31,59,30,18,3,1
t=0.25,1.375,1.225,1.075,0.9625,0.8125,0.55,0.825,2.5,0.0687546,142,True,8.21079,7.31507,6.41935,5.74756,4.85183,3.28432,31,59,30,18,3,1
t=0.30,1.35,1.21,1.07,0.965,0.825,0.58,0.77,2.32759,0.0648281,142,True,8.14406,7.29949,6.45492,5.82149,4.97693,3.49893,31,59,30,18,3,1
t=0.35,1.325,1.195,1.065,0.9675,0.8375,0.61,0.715,2.17213,0.0608204,142,True,8.07594,7.28359,6.49123,5.89696,5.10461,3.71798,31,59,30,18,3,1
t=0.40,1.3,1.18,1.06,0.97,0.85,0.64,0.66,2.03125,0.0567288,142,True,8.00641,7.26735,6.5283,5.97401,5.23496,3.94161,31,59,30,18,3,1
t=0.45,1.275,1.165,1.055,0.9725,0.8625,0.67,0.605,1.90299,0.0525508,142,True,7.9354,7.25077,6.56615,6.05268,5.36806,4.16997,31,59,30,18,3,1
t=0.50,1.25,1.15,1.05,0.975,0.875,0.7,0.55,1.78571,0.0482836,142,True,7.86287,7.23384,6.60481,6.13304,5.50401,4.40321,31,59,30,18,3,1
t=0.55,1.225,1.135,1.045,0.9775,0.8875,0.73,0.495,1.67808,0.0439242,142,True,7.78878,7.21654,6.64431,6.21513,5.64289,4.64148,31,59,30,18,3,1
t=0.60,1.2,1.12,1.04,0.98,0.9,0.76,0.44,1.57895,0.0394698,142,True,7.71307,7.19887,6.68466,6.29901,5.78481,4.88495,31,59,30,18,3,1
t=0.65,1.175,1.105,1.035,0.9825,0.9125,0.79,0.385,1.48734,0.034917,142,True,7.6357,7.1808,6.72591,6.38474,5.92985,5.13379,31,59,30,18,3,1
t=0.70,1.15,1.09,1.03,0.985,0.925,0.82,0.33,1.40244,0.0302627,142,True,7.55659,7.16234,6.76808,6.47239,6.07813,5.38818,31,59,30,18,3,1
t=0.75,1.125,1.075,1.025,0.9875,0.9375,0.85,0.275,1.32353,0.0255034,142,True,7.4757,7.14345,6.8112,6.56201,6.22975,5.64831,31,59,30,18,3,1
t=0.80,1.1,1.06,1.02,0.99,0.95,0.88,0.22,1.25,0.0206355,142,True,7.39297,7.12413,6.8553,6.65367,6.38484,5.91438,31,59,30,18,3,1
t=0.85,1.075,1.045,1.015,0.9925,0.9625,0.91,0.165,1.18132,0.0156552,142,True,7.30833,7.10437,6.90042,6.74745,6.5435,6.18658,31,59,30,18,3,1
t=0.90,1.05,1.03,1.01,0.995,0.975,0.94,0.11,1.11702,0.0105587,142,True,7.22171,7.08415,6.94659,6.84343,6.70587,6.46515,31,59,30,18,3,1
t=0.95,1.025,1.015,1.005,0.9975,0.9875,0.97,0.055,1.0567,0.00534169,142,True,7.13304,7.06345,6.99386,6.94167,6.87208,6.75029,31,59,30,18,3,1
