target_ratio,shape,t,w1,w6,spread,b1_b6_achieved,gini,b1_mean,b6_mean
1.5,linear,0.73,1.135,0.838,0.297,1.35442,0.0274199,7.50828,5.54356
1.5,front_compress,0.675,1.08921,0.805,0.284208,1.35305,0.0205796,7.37309,5.44923
1.5,back_compress,0.82,1.09,0.80344,0.28656,1.35667,0.0207511,7.37588,5.43677
2,linear,0.47,1.265,0.682,0.583,1.85484,0.0508548,7.90657,4.26267
2,front_compress,0.395,1.18575,0.637,0.548755,1.86147,0.0401269,7.69534,4.13402
2,back_compress,0.63,1.185,0.63814,0.54686,1.85696,0.0399844,7.69296,4.14277
2.5,linear,0.29,1.355,0.574,0.781,2.36063,0.0656198,8.15752,3.45566
2.5,front_compress,0.225,1.26283,0.535,0.727829,2.36043,0.0538787,7.92811,3.35876
2.5,back_compress,0.475,1.2625,0.535375,0.727125,2.35816,0.0538233,7.92716,3.36159
3,linear,0.16,1.42,0.496,0.924,2.8629,0.0756253,8.32757,2.90878
3,front_compress,0.11,1.33417,0.466,0.868169,2.86302,0.0652628,8.1257,2.83815
3,back_compress,0.335,1.3325,0.467335,0.865165,2.85127,0.0650105,8.12126,2.84829
