profile,band,weight,n,mean_alloc_m,total_alloc_m
Current (1.50→0.40),Band 1,1.5,31,8.52515,264.28
Current (1.50→0.40),Band 2,1.3,59,7.38846,435.919
Current (1.50→0.40),Band 3,1.1,30,6.25178,187.553
Current (1.50→0.40),Band 4,0.95,18,5.39926,97.1867
Current (1.50→0.40),Band 5,0.75,3,4.26257,12.7877
Current (1.50→0.40),Band 6,0.4,1,2.27337,2.27337
Moderate (1.25→0.75),Band 1,1.25,31,7.88644,244.479
Moderate (1.25→0.75),Band 2,1.15,59,7.25552,428.076
Moderate (1.25→0.75),Band 3,1.05,30,6.62461,198.738
Moderate (1.25→0.75),Band 4,0.95,18,5.99369,107.886
Moderate (1.25→0.75),Band 5,0.85,3,5.36278,16.0883
Moderate (1.25→0.75),Band 6,0.75,1,4.73186,4.73186
Flat-linear (1.20→0.80),Band 1,1.2,31,7.73196,239.691
Flat-linear (1.20→0.80),Band 2,1.12,59,7.21649,425.773
Flat-linear (1.20→0.80),Band 3,1.04,30,6.70103,201.031
Flat-linear (1.20→0.80),Band 4,0.96,18,6.18557,111.34
Flat-linear (1.20→0.80),Band 5,0.88,3,5.6701,17.0103
Flat-linear (1.20→0.80),Band 6,0.8,1,5.15464,5.15464
Near-flat (1.10→0.90),Band 1,1.1,31,7.40242,229.475
Near-flat (1.10→0.90),Band 2,1.06,59,7.13324,420.861
Near-flat (1.10→0.90),Band 3,1.02,30,6.86406,205.922
Near-flat (1.10→0.90),Band 4,0.98,18,6.59489,118.708
Near-flat (1.10→0.90),Band 5,0.94,3,6.32571,18.9771
Near-flat (1.10→0.90),Band 6,0.9,1,6.05653,6.05653
Minimal (1.05→0.95),Band 1,1.05,31,7.22643,224.019
Minimal (1.05→0.95),Band 2,1.03,59,7.08878,418.238
Minimal (1.05→0.95),Band 3,1.01,30,6.95114,208.534
Minimal (1.05→0.95),Band 4,0.99,18,6.81349,122.643
Minimal (1.05→0.95),Band 5,0.97,3,6.67584,20.0275
Minimal (1.05→0.95),Band 6,0.95,1,6.5382,6.5382
Equality (1.00→1.00),Band 1,1,31,7.04225,218.31
Equality (1.00→1.00),Band 2,1,59,7.04225,415.493
Equality (1.00→1.00),Band 3,1,30,7.04225,211.268
Equality (1.00→1.00),Band 4,1,18,7.04225,126.761
Equality (1.00→1.00),Band 5,1,3,7.04225,21.1268
Equality (1.00→1.00),Band 6,1,1,7.04225,7.04225
t=0.05,Band 1,1.475,31,8.46473,262.407
t=0.05,Band 2,1.285,59,7.37436,435.087
t=0.05,Band 3,1.095,30,6.28398,188.52
t=0.05,Band 4,0.9525,18,5.46621,98.3917
t=0.05,Band 5,0.7625,3,4.37583,13.1275
t=0.05,Band 6,0.43,1,2.46768,2.46768
t=0.10,Band 1,1.45,31,8.40312,260.497
t=0.10,Band 2,1.27,59,7.35997,434.238
t=0.10,Band 3,1.09,30,6.31683,189.505
t=0.10,Band 4,0.955,18,5.53447,99.6204
t=0.10,Band 5,0.775,3,4.49132,13.474
t=0.10,Band 6,0.46,1,2.66582,2.66582
