spread,w1,w6,b1_b6_ratio,gini,b1_mean,b6_mean,b5_mean,b1_b6_mean_ratio,monotonic
1.1,1.5,0.4,3.75,0.0872507,8.52515,2.27337,4.26257,3.75,True
1.078,1.49,0.412,3.6165,0.0858369,8.50112,2.35065,4.30762,3.6165,True
1.056,1.48,0.424,3.49057,0.0844122,8.47691,2.42852,4.35301,3.49057,True
1.034,1.47,0.436,3.37156,0.0829763,8.4525,2.507,4.39875,3.37156,True
1.012,1.46,0.448,3.25893,0.0815291,8.42791,2.5861,4.44485,3.25893,True
0.99,1.45,0.46,3.15217,0.0800706,8.40312,2.66582,4.49132,3.15217,True
0.968,1.44,0.472,3.05085,0.0786006,8.37813,2.74617,4.53816,3.05085,True
0.946,1.43,0.484,2.95455,0.0771188,8.35295,2.82715,4.58536,2.95455,True
0.924,1.42,0.496,2.8629,0.0756253,8.32757,2.90878,4.63294,2.8629,True
0.902,1.41,0.508,2.77559,0.0741199,8.30198,2.99107,4.6809,2.77559,True
0.88,1.4,0.52,2.69231,0.0726023,8.27619,3.07401,4.72925,2.69231,True
0.858,1.39,0.532,2.61278,0.0710725,8.25019,3.15763,4.77799,2.61278,True
0.836,1.38,0.544,2.53676,0.0695304,8.22398,3.24192,4.82712,2.53676,True
0.814,1.37,0.556,2.46403,0.0679757,8.19756,3.32689,4.87665,2.46403,True
0.792,1.36,0.568,2.39437,0.0664083,8.17092,3.41256,4.92658,2.39437,True
0.77,1.35,0.58,2.32759,0.0648281,8.14406,3.49893,4.97693,2.32759,True
0.748,1.34,0.592,2.26351,0.0632349,8.11698,3.58601,5.02768,2.26351,True
0.726,1.33,0.604,2.20199,0.0616285,8.08968,3.67381,5.07886,2.20199,True
0.704,1.32,0.616,2.14286,0.0600088,8.06215,3.76234,5.13046,2.14286,True
0.682,1.31,0.628,2.08599,0.0583757,8.03439,3.8516,5.18249,2.08599,True
0.66,1.3,0.64,2.03125,0.0567288,8.00641,3.94161,5.23496,2.03125,True
0.638,1.29,0.652,1.97853,0.0550681,7.97818,4.03238,5.28786,1.97853,True
0.616,1.28,0.664,1.92771,0.0533934,7.94972,4.12392,5.34122,1.92771,True
0.594,1.27,0.676,1.8787,0.0517046,7.92101,4.21622,5.39502,1.8787,True
0.572,1.26,0.688,1.8314,0.0500013,7.89207,4.30932,5.44928,1.8314,True
0.55,1.25,0.7,1.78571,0.0482836,7.86287,4.40321,5.50401,1.78571,True
0.528,1.24,0.712,1.74157,0.0465511,7.83343,4.4979,5.55921,1.74157,True
0.506,1.23,0.724,1.6989,0.0448036,7.80373,4.59341,5.61488,1.6989,True
0.484,1.22,0.736,1.65761,0.043041,7.77377,4.68975,5.67103,1.65761,True
0.462,1.21,0.748,1.61765,0.0412632,7.74355,4.78692,5.72767,1.61765,True
0.44,1.2,0.76,1.57895,0.0394698,7.71307,4.88495,5.78481,1.57895,True
0.418,1.19,0.772,1.54145,0.0376606,7.68233,4.98383,5.84244,1.54145,True
0.396,1.18,0.784,1.5051,0.0358356,7.65131,5.08358,5.90058,1.5051,True
0.374,1.17,0.796,1.46985,0.0339944,7.62002,5.18422,5.95924,1.46985,True
0.352,1.16,0.808,1.43564,0.0321368,7.58844,5.28574,6.01842,1.43564,True
0.33,1.15,0.82,1.40244,0.0302627,7.55659,5.38818,6.07813,1.40244,True
0.308,1.14,0.832,1.37019,0.0283718,7.52445,5.49153,6.13837,1.37019,True
0.286,1.13,0.844,1.33886,0.0264638,7.49203,5.59582,6.19916,1.33886,True
0.264,1.12,0.856,1.30841,0.0245386,7.45931,5.70104,6.26049,1.30841,True
0.242,1.11,0.868,1.2788,0.0225959,7.42629,5.80722,6.32238,1.2788,True
0.22,1.1,0.88,1.25,0.0206355,7.39297,5.91438,6.38484,1.25,True
0.198,1.09,0.892,1.22197,0.0186571,7.35935,6.02251,6.44787,1.22197,True
0.176,1.08,0.904,1.19469,0.0166604,7.32541,6.13164,6.51148,1.19469,True
0.154,1.07,0.916,1.16812,0.0146453,7.29116,6.24178,6.57567,1.16812,True
0.132,1.06,0.928,1.14224,0.0126115,7.2566,6.35294,6.64047,1.14224,True
0.11,1.05,0.94,1.11702,0.0105587,7.22171,6.46515,6.70587,1.11702,True
0.088,1.04,0.952,1.09244,0.00848656,7.18649,6.5784,6.77188,1.09244,True
0.066,1.03,0.964,1.06846,0.00639492,7.15094,6.69272,6.83852,1.06846,True
0.044,1.02,0.976,1.04508,0.00428348,7.11505,6.80813,6.90579,1.04508,True
0.022,1.01,0.988,1.02227,0.00215193,7.07883,6.92464,6.9737,1.02227,True
0.005,1,0.995,1.00503,0.000568803,7.05169,7.01643,7.02348,1.00503,True
