b1_b6_floor,band,weight,n,n_ldc,n_sids,mean_alloc_m,total_alloc_m
1.125,Band 1,0.9,31,13,22,7.09117,219.826
1.125,Band 2,0.8992,59,31,11,7.08487,418.007
1.125,Band 3,0.8936,30,0,4,7.04074,211.222
1.125,Band 4,0.8784,18,0,2,6.92098,124.578
1.125,Band 5,0.8488,3,0,0,6.68776,20.0633
1.125,Band 6,0.8,1,0,0,6.30326,6.30326
1.25,Band 1,0.45,31,13,22,7.1308,221.055
1.25,Band 2,0.44928,59,31,11,7.11939,420.044
1.25,Band 3,0.44424,30,0,4,7.03952,211.186
1.25,Band 4,0.43056,18,0,2,6.82275,122.809
1.25,Band 5,0.40392,3,0,0,6.4006,19.2018
1.25,Band 6,0.36,1,0,0,5.70464,5.70464
1.375,Band 1,0.59125,31,13,22,7.16355,222.07
1.375,Band 2,0.58996,59,31,11,7.14792,421.727
1.375,Band 3,0.58093,30,0,4,7.03851,211.155
1.375,Band 4,0.55642,18,0,2,6.74155,121.348
1.375,Band 5,0.50869,3,0,0,6.16326,18.4898
1.375,Band 6,0.43,1,0,0,5.20985,5.20985
1.5,Band 1,0.915,31,13,22,7.19107,222.923
1.5,Band 2,0.91256,59,31,11,7.1719,423.142
1.5,Band 3,0.89548,30,0,4,7.03766,211.13
1.5,Band 4,0.84912,18,0,2,6.67331,120.12
1.5,Band 5,0.75884,3,0,0,5.9638,17.8914
1.5,Band 6,0.61,1,0,0,4.79405,4.79405
1.625,Band 1,1.02375,31,13,22,7.21453,223.65
1.625,Band 2,1.0206,59,31,11,7.19233,424.347
1.625,Band 3,0.99855,30,0,4,7.03694,211.108
1.625,Band 4,0.9387,18,0,2,6.61517,119.073
1.625,Band 5,0.82215,3,0,0,5.79382,17.3815
1.625,Band 6,0.63,1,0,0,4.43971,4.43971
1.75,Band 1,1.26,31,13,22,7.23475,224.277
1.75,Band 2,1.25568,59,31,11,7.20995,425.387
1.75,Band 3,1.22544,30,0,4,7.03631,211.089
1.75,Band 4,1.14336,18,0,2,6.56502,118.17
1.75,Band 5,0.98352,3,0,0,5.64724,16.9417
1.75,Band 6,0.72,1,0,0,4.13414,4.13414
1.875,Band 1,1.0875,31,13,22,7.25237,224.824
1.875,Band 2,1.08344,59,31,11,7.2253,426.293
1.875,Band 3,1.05502,30,0,4,7.03577,211.073
1.875,Band 4,0.97788,18,0,2,6.52134,117.384
1.875,Band 5,0.82766,3,0,0,5.51954,16.5586
1.875,Band 6,0.58,1,0,0,3.86793,3.86793
2,Band 1,1.8,31,13,22,7.26786,225.304
2,Band 2,1.7928,59,31,11,7.23879,427.089
2,Band 3,1.7424,30,0,4,7.03529,211.059
2,Band 4,1.6056,18,0,2,6.48294,116.693
2,Band 5,1.3392,3,0,0,5.40729,16.2219
2,Band 6,0.9,1,0,0,3.63393,3.63393
2.125,Band 1,1.21125,31,13,22,7.28159,225.729
2.125,Band 2,1.20612,59,31,11,7.25075,427.794
2.125,Band 3,1.17021,30,0,4,7.03487,211.046
2.125,Band 4,1.07274,18,0,2,6.44892,116.08
2.125,Band 5,0.88293,3,0,0,5.30785,15.9235
2.125,Band 6,0.57,1,0,0,3.42663,3.42663
2.25,Band 1,1.9575,31,13,22,7.29383,226.109
2.25,Band 2,1.9488,59,31,11,7.26141,428.423
2.25,Band 3,1.8879,30,0,4,7.03449,211.035
2.25,Band 4,1.7226,18,0,2,6.41857,115.534
2.25,Band 5,1.4007,3,0,0,5.21914,15.6574
2.25,Band 6,0.87,1,0,0,3.2417,3.2417
2.375,Band 1,1.40125,31,13,22,7.30482,226.449
2.375,Band 2,1.39476,59,31,11,7.27098,428.988
2.375,Band 3,1.34933,30,0,4,7.03415,211.025
2.375,Band 4,1.22602,18,0,2,6.39133,115.044
2.375,Band 5,0.98589,3,0,0,5.13951,15.4185
2.375,Band 6,0.59,1,0,0,3.07571,3.07571
2.5,Band 1,1.8,31,13,22,7.31473,226.757
2.5,Band 2,1.79136,59,31,11,7.27962,429.498
2.5,Band 3,1.73088,30,0,4,7.03385,211.015
2.5,Band 4,1.56672,18,0,2,6.36674,114.601
2.5,Band 5,1.24704,3,0,0,5.06765,15.2029
2.5,Band 6,0.72,1,0,0,2.92589,2.92589
2.625,Band 1,1.1025,31,13,22,7.32373,227.036
2.625,Band 2,1.09704,59,31,11,7.28746,429.96
2.625,Band 3,1.05882,30,0,4,7.03357,211.007
2.625,Band 4,0.95508,18,0,2,6.34444,114.2
