balance_point,fund_label,fund_size_usd,iusaf_pct,tsac_pct,sosac_pct,pool_pct,iusaf_m,tsac_m,sosac_m,pool_m,state_m,iplc_m
Strict (1.5/3),$50m,50000000,95.5,1.5,3.0,4.5,47.8,0.8,1.5,2.2,23.9,23.9
Strict (1.5/3),$200m,200000000,95.5,1.5,3.0,4.5,191.0,3.0,6.0,9.0,95.5,95.5
Strict (1.5/3),$500m,500000000,95.5,1.5,3.0,4.5,477.5,7.5,15.0,22.5,238.8,238.8
Strict (1.5/3),$1bn,1000000000,95.5,1.5,3.0,4.5,955.0,15.0,30.0,45.0,477.5,477.5
Strict (1.5/3),$5bn,5000000000,95.5,1.5,3.0,4.5,4775.0,75.0,150.0,225.0,2387.5,2387.5
Strict (1.5/3),$10bn,10000000000,95.5,1.5,3.0,4.5,9550.0,150.0,300.0,450.0,4775.0,4775.0
Gini-minimum (2.5/3),$50m,50000000,94.5,2.5,3.0,5.5,47.2,1.2,1.5,2.8,23.6,23.6
Gini-minimum (2.5/3),$200m,200000000,94.5,2.5,3.0,5.5,189.0,5.0,6.0,11.0,94.5,94.5
Gini-minimum (2.5/3),$500m,500000000,94.5,2.5,3.0,5.5,472.5,12.5,15.0,27.5,236.2,236.2
Gini-minimum (2.5/3),$1bn,1000000000,94.5,2.5,3.0,5.5,945.0,25.0,30.0,55.0,472.5,472.5
Gini-minimum (2.5/3),$5bn,5000000000,94.5,2.5,3.0,5.5,4725.0,125.0,150.0,275.0,2362.5,2362.5
Gini-minimum (2.5/3),$10bn,10000000000,94.5,2.5,3.0,5.5,9450.0,250.0,300.0,550.0,4725.0,4725.0
Band-order boundary (3/3),$50m,50000000,94.0,3.0,3.0,6.0,47.0,1.5,1.5,3.0,23.5,23.5
Band-order boundary (3/3),$200m,200000000,94.0,3.0,3.0,6.0,188.0,6.0,6.0,12.0,94.0,94.0
Band-order boundary (3/3),$500m,500000000,94.0,3.0,3.0,6.0,470.0,15.0,15.0,30.0,235.0,235.0
Band-order boundary (3/3),$1bn,1000000000,94.0,3.0,3.0,6.0,940.0,30.0,30.0,60.0,470.0,470.0
Band-order boundary (3/3),$5bn,5000000000,94.0,3.0,3.0,6.0,4700.0,150.0,150.0,300.0,2350.0,2350.0
Band-order boundary (3/3),$10bn,10000000000,94.0,3.0,3.0,6.0,9400.0,300.0,300.0,600.0,4700.0,4700.0
