Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,8.7937,4.3968,4.3968,8.0136,0.0108,0.7692,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,8.7936,4.3968,4.3968,8.0136,0.0107,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,8.7916,4.3958,4.3958,8.0136,0.0087,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,8.7886,4.3943,4.3943,8.0136,0.0057,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,8.7875,4.3938,4.3938,8.0136,0.0047,0.7692,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,8.7844,4.3922,4.3922,8.0136,0.0015,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,8.7839,4.3920,4.3920,8.0136,0.0011,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,8.7836,4.3918,4.3918,8.0136,0.0007,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,8.7832,4.3916,4.3916,8.0136,0.0004,0.7692,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,8.7832,4.3916,4.3916,8.0136,0.0003,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,8.7832,4.3916,4.3916,8.0136,0.0003,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,8.7831,4.3916,4.3916,8.0136,0.0003,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),8.7831,4.3916,4.3916,8.0136,0.0003,0.7692,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,8.7830,4.3915,4.3915,8.0136,0.0002,0.7692,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,8.7830,4.3915,4.3915,8.0136,0.0001,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,8.7830,4.3915,4.3915,8.0136,0.0001,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
