Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,0.4397,0.2198,0.2198,0.4007,0.0005,0.0385,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,0.4397,0.2198,0.2198,0.4007,0.0005,0.0385,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,0.4396,0.2198,0.2198,0.4007,0.0004,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,0.4394,0.2197,0.2197,0.4007,0.0003,0.0385,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,0.4394,0.2197,0.2197,0.4007,0.0002,0.0385,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,0.4392,0.2196,0.2196,0.4007,0.0001,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,0.4392,0.2196,0.2196,0.4007,0.0001,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,0.4392,0.2196,0.2196,0.4007,0.0000,0.0385,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,0.4392,0.2196,0.2196,0.4007,0.0000,0.0385,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,0.4392,0.2196,0.2196,0.4007,0.0000,0.0385,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,0.4392,0.2196,0.2196,0.4007,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,0.4392,0.2196,0.2196,0.4007,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),0.4392,0.2196,0.2196,0.4007,0.0000,0.0385,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,0.4392,0.2196,0.2196,0.4007,0.0000,0.0385,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,0.4392,0.2196,0.2196,0.4007,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,0.4392,0.2196,0.2196,0.4007,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Niue,0.4391,0.2196,0.2196,0.4007,0.0000,0.0385,High income,False,True,False,Band 1: <= 0.001%
18,Saint Kitts and Nevis,0.4391,0.2196,0.2196,0.4007,0.0000,0.0385,High income,False,True,False,Band 1: <= 0.001%
19,Cook Islands,0.4391,0.2196,0.2196,0.4007,0.0000,0.0385,High income,False,True,False,Band 1: <= 0.001%
20,Marshall Islands,0.4391,0.2196,0.2196,0.4007,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
21,Tuvalu,0.4391,0.2196,0.2196,0.4007,0.0000,0.0385,Upper middle income,True,True,False,Band 1: <= 0.001%
22,Nauru,0.4391,0.2196,0.2196,0.4007,0.0000,0.0385,High income,False,True,False,Band 1: <= 0.001%
23,Central African Republic,0.4126,0.2063,0.2063,0.4007,0.0119,0.0000,Low income,True,False,False,Band 1: <= 0.001%
24,Eritrea,0.4030,0.2015,0.2015,0.4007,0.0023,0.0000,Low income,True,False,False,Band 1: <= 0.001%
25,Liberia,0.4025,0.2013,0.2013,0.4007,0.0018,0.0000,Low income,True,False,False,Band 1: <= 0.001%
26,Sierra Leone,0.4021,0.2010,0.2010,0.4007,0.0014,0.0000,Low income,True,False,False,Band 1: <= 0.001%
27,Bhutan,0.4014,0.2007,0.2007,0.4007,0.0007,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Lesotho,0.4013,0.2006,0.2006,0.4007,0.0006,0.0000,Lower middle income,True,False,False,Band 1: <= 0.001%
29,Burundi,0.4012,0.2006,0.2006,0.4007,0.0005,0.0000,Low income,True,False,False,Band 1: <= 0.001%
