Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,0.4417,0.2209,0.2209,0.4028,0.0004,0.0385,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,0.4417,0.2209,0.2209,0.4028,0.0004,0.0385,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,0.4416,0.2208,0.2208,0.4028,0.0004,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,0.4415,0.2208,0.2208,0.4028,0.0002,0.0385,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,0.4415,0.2207,0.2207,0.4028,0.0002,0.0385,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,0.4413,0.2207,0.2207,0.4028,0.0001,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,0.4413,0.2207,0.2207,0.4028,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,0.4413,0.2207,0.2207,0.4028,0.0000,0.0385,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Niue,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,High income,False,True,False,Band 1: <= 0.001%
18,Saint Kitts and Nevis,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,High income,False,True,False,Band 1: <= 0.001%
19,Cook Islands,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,High income,False,True,False,Band 1: <= 0.001%
20,Marshall Islands,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,Upper middle income,False,True,False,Band 1: <= 0.001%
21,Tuvalu,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,Upper middle income,True,True,False,Band 1: <= 0.001%
22,Nauru,0.4413,0.2206,0.2206,0.4028,0.0000,0.0385,High income,False,True,False,Band 1: <= 0.001%
23,Central African Republic,0.4128,0.2064,0.2064,0.4028,0.0100,0.0000,Low income,True,False,False,Band 1: <= 0.001%
24,Eritrea,0.4047,0.2024,0.2024,0.4028,0.0019,0.0000,Low income,True,False,False,Band 1: <= 0.001%
25,Liberia,0.4044,0.2022,0.2022,0.4028,0.0015,0.0000,Low income,True,False,False,Band 1: <= 0.001%
26,Sierra Leone,0.4040,0.2020,0.2020,0.4028,0.0012,0.0000,Low income,True,False,False,Band 1: <= 0.001%
27,Bhutan,0.4034,0.2017,0.2017,0.4028,0.0006,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Lesotho,0.4033,0.2016,0.2016,0.4028,0.0005,0.0000,Lower middle income,True,False,False,Band 1: <= 0.001%
29,Burundi,0.4032,0.2016,0.2016,0.4028,0.0004,0.0000,Low income,True,False,False,Band 1: <= 0.001%
