Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,4.3968,2.1984,2.1984,4.0068,0.0054,0.3846,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,4.3968,2.1984,2.1984,4.0068,0.0054,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,4.3958,2.1979,2.1979,4.0068,0.0044,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,4.3943,2.1971,2.1971,4.0068,0.0029,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,4.3938,2.1969,2.1969,4.0068,0.0023,0.3846,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,4.3922,2.1961,2.1961,4.0068,0.0008,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,4.3920,2.1960,2.1960,4.0068,0.0005,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,4.3918,2.1959,2.1959,4.0068,0.0004,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,4.3916,2.1958,2.1958,4.0068,0.0002,0.3846,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,4.3916,2.1958,2.1958,4.0068,0.0002,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,4.3916,2.1958,2.1958,4.0068,0.0001,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,4.3916,2.1958,2.1958,4.0068,0.0001,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),4.3916,2.1958,2.1958,4.0068,0.0001,0.3846,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,4.3915,2.1958,2.1958,4.0068,0.0001,0.3846,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,4.3915,2.1958,2.1958,4.0068,0.0001,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,4.3915,2.1958,2.1958,4.0068,0.0001,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Niue,4.3915,2.1957,2.1957,4.0068,0.0000,0.3846,High income,False,True,False,Band 1: <= 0.001%
18,Saint Kitts and Nevis,4.3915,2.1957,2.1957,4.0068,0.0000,0.3846,High income,False,True,False,Band 1: <= 0.001%
19,Cook Islands,4.3915,2.1957,2.1957,4.0068,0.0000,0.3846,High income,False,True,False,Band 1: <= 0.001%
20,Marshall Islands,4.3915,2.1957,2.1957,4.0068,0.0000,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
21,Tuvalu,4.3914,2.1957,2.1957,4.0068,0.0000,0.3846,Upper middle income,True,True,False,Band 1: <= 0.001%
22,Nauru,4.3914,2.1957,2.1957,4.0068,0.0000,0.3846,High income,False,True,False,Band 1: <= 0.001%
23,Central African Republic,4.1263,2.0631,2.0631,4.0068,0.1195,0.0000,Low income,True,False,False,Band 1: <= 0.001%
24,Eritrea,4.0301,2.0150,2.0150,4.0068,0.0232,0.0000,Low income,True,False,False,Band 1: <= 0.001%
25,Liberia,4.0253,2.0126,2.0126,4.0068,0.0185,0.0000,Low income,True,False,False,Band 1: <= 0.001%
26,Sierra Leone,4.0207,2.0103,2.0103,4.0068,0.0138,0.0000,Low income,True,False,False,Band 1: <= 0.001%
27,Bhutan,4.0141,2.0071,2.0071,4.0068,0.0073,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Lesotho,4.0126,2.0063,2.0063,4.0068,0.0058,0.0000,Lower middle income,True,False,False,Band 1: <= 0.001%
29,Burundi,4.0117,2.0059,2.0059,4.0068,0.0049,0.0000,Low income,True,False,False,Band 1: <= 0.001%
