Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,4.4172,2.2086,2.2086,4.0281,0.0045,0.3846,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,4.4172,2.2086,2.2086,4.0281,0.0045,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,4.4164,2.2082,2.2082,4.0281,0.0036,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,4.4151,2.2076,2.2076,4.0281,0.0024,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,4.4147,2.2073,2.2073,4.0281,0.0019,0.3846,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,4.4134,2.2067,2.2067,4.0281,0.0006,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,4.4132,2.2066,2.2066,4.0281,0.0004,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,4.4130,2.2065,2.2065,4.0281,0.0003,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,4.4129,2.2065,2.2065,4.0281,0.0002,0.3846,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,4.4129,2.2064,2.2064,4.0281,0.0001,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,4.4129,2.2064,2.2064,4.0281,0.0001,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,4.4129,2.2064,2.2064,4.0281,0.0001,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),4.4129,2.2064,2.2064,4.0281,0.0001,0.3846,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,4.4128,2.2064,2.2064,4.0281,0.0001,0.3846,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,4.4128,2.2064,2.2064,4.0281,0.0001,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,4.4128,2.2064,2.2064,4.0281,0.0001,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Niue,4.4128,2.2064,2.2064,4.0281,0.0000,0.3846,High income,False,True,False,Band 1: <= 0.001%
18,Saint Kitts and Nevis,4.4128,2.2064,2.2064,4.0281,0.0000,0.3846,High income,False,True,False,Band 1: <= 0.001%
19,Cook Islands,4.4128,2.2064,2.2064,4.0281,0.0000,0.3846,High income,False,True,False,Band 1: <= 0.001%
20,Marshall Islands,4.4128,2.2064,2.2064,4.0281,0.0000,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
21,Tuvalu,4.4128,2.2064,2.2064,4.0281,0.0000,0.3846,Upper middle income,True,True,False,Band 1: <= 0.001%
22,Nauru,4.4128,2.2064,2.2064,4.0281,0.0000,0.3846,High income,False,True,False,Band 1: <= 0.001%
23,Central African Republic,4.1277,2.0638,2.0638,4.0281,0.0996,0.0000,Low income,True,False,False,Band 1: <= 0.001%
24,Eritrea,4.0475,2.0237,2.0237,4.0281,0.0194,0.0000,Low income,True,False,False,Band 1: <= 0.001%
25,Liberia,4.0435,2.0218,2.0218,4.0281,0.0154,0.0000,Low income,True,False,False,Band 1: <= 0.001%
26,Sierra Leone,4.0397,2.0198,2.0198,4.0281,0.0115,0.0000,Low income,True,False,False,Band 1: <= 0.001%
27,Bhutan,4.0342,2.0171,2.0171,4.0281,0.0061,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Lesotho,4.0330,2.0165,2.0165,4.0281,0.0049,0.0000,Lower middle income,True,False,False,Band 1: <= 0.001%
29,Burundi,4.0322,2.0161,2.0161,4.0281,0.0041,0.0000,Low income,True,False,False,Band 1: <= 0.001%
