Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Belize,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
2,Bhutan,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
3,Burundi,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
4,Cabo Verde,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
5,Central African Republic,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
6,Comoros,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Lower middle income,True,True,False,Band 1: <= 0.001%
7,Cook Islands,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
8,Dominica,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
9,Eritrea,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
10,Gambia,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
11,Grenada,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Guinea-Bissau,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Low income,True,True,False,Band 1: <= 0.001%
13,Kiribati,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Lower middle income,True,True,False,Band 1: <= 0.001%
14,Lesotho,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Lower middle income,True,False,False,Band 1: <= 0.001%
15,Liberia,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
16,Marshall Islands,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Micronesia (Federated States of),4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Lower middle income,False,True,False,Band 1: <= 0.001%
18,Nauru,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
19,Niue,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
20,Palau,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
21,Saint Kitts and Nevis,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
22,Saint Vincent and the Grenadines,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
23,Samoa,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
24,Sao Tome and Principe,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Lower middle income,False,True,False,Band 1: <= 0.001%
25,Sierra Leone,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
26,Solomon Islands,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Lower middle income,True,True,False,Band 1: <= 0.001%
27,State of Palestine,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Timor-Leste,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Lower middle income,True,True,False,Band 1: <= 0.001%
29,Tonga,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
30,Tuvalu,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Upper middle income,True,True,False,Band 1: <= 0.001%
31,Vanuatu,4.2626,2.1313,2.1313,4.2626,0.0000,0.0000,Lower middle income,False,True,False,Band 1: <= 0.001%
32,Afghanistan,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
33,Albania,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
34,Angola,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
35,Antigua and Barbuda,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,High income,False,True,False,Band 2: 0.001% - 0.01%
36,Armenia,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
37,Bangladesh,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
38,Barbados,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,High income,False,True,False,Band 2: 0.001% - 0.01%
39,Benin,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
40,Burkina Faso,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
41,Cambodia,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
42,Chad,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
43,Congo,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
44,Democratic People's Republic of Korea,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Low income,False,False,False,Band 2: 0.001% - 0.01%
45,Democratic Republic of the Congo,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
46,Djibouti,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
47,Equatorial Guinea,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
48,Eswatini,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
49,Ethiopia,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
50,Fiji,3.6942,1.8471,1.8471,3.6942,0.0000,0.0000,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
