Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,4.4581,2.2290,2.2290,4.0708,0.0027,0.3846,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,4.4581,2.2290,2.2290,4.0708,0.0027,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,4.4576,2.2288,2.2288,4.0708,0.0022,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,4.4568,2.2284,2.2284,4.0708,0.0014,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,4.4565,2.2283,2.2283,4.0708,0.0012,0.3846,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,4.4558,2.2279,2.2279,4.0708,0.0004,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,4.4556,2.2278,2.2278,4.0708,0.0003,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,4.4556,2.2278,2.2278,4.0708,0.0002,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,4.4555,2.2277,2.2277,4.0708,0.0001,0.3846,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,4.4555,2.2277,2.2277,4.0708,0.0001,0.3846,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,4.4554,2.2277,2.2277,4.0708,0.0001,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,4.4554,2.2277,2.2277,4.0708,0.0001,0.3846,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),4.4554,2.2277,2.2277,4.0708,0.0001,0.3846,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,4.4554,2.2277,2.2277,4.0708,0.0000,0.3846,High income,False,True,False,Band 1: <= 0.001%
