Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,8.8345,4.4172,4.4172,8.0563,0.0090,0.7692,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,8.8344,4.4172,4.4172,8.0563,0.0089,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,8.8328,4.4164,4.4164,8.0563,0.0073,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,8.8302,4.4151,4.4151,8.0563,0.0048,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,8.8294,4.4147,4.4147,8.0563,0.0039,0.7692,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,8.8268,4.4134,4.4134,8.0563,0.0013,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,8.8264,4.4132,4.4132,8.0563,0.0009,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,8.8261,4.4130,4.4130,8.0563,0.0006,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,8.8258,4.4129,4.4129,8.0563,0.0003,0.7692,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,8.8258,4.4129,4.4129,8.0563,0.0003,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,8.8257,4.4129,4.4129,8.0563,0.0002,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,8.8257,4.4129,4.4129,8.0563,0.0002,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),8.8257,4.4129,4.4129,8.0563,0.0002,0.7692,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,8.8256,4.4128,4.4128,8.0563,0.0001,0.7692,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,8.8256,4.4128,4.4128,8.0563,0.0001,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,8.8256,4.4128,4.4128,8.0563,0.0001,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Niue,8.8256,4.4128,4.4128,8.0563,0.0001,0.7692,High income,False,True,False,Band 1: <= 0.001%
18,Saint Kitts and Nevis,8.8256,4.4128,4.4128,8.0563,0.0001,0.7692,High income,False,True,False,Band 1: <= 0.001%
19,Cook Islands,8.8256,4.4128,4.4128,8.0563,0.0001,0.7692,High income,False,True,False,Band 1: <= 0.001%
20,Marshall Islands,8.8256,4.4128,4.4128,8.0563,0.0001,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
21,Tuvalu,8.8255,4.4128,4.4128,8.0563,0.0000,0.7692,Upper middle income,True,True,False,Band 1: <= 0.001%
22,Nauru,8.8255,4.4128,4.4128,8.0563,0.0000,0.7692,High income,False,True,False,Band 1: <= 0.001%
23,Central African Republic,8.2554,4.1277,4.1277,8.0563,0.1991,0.0000,Low income,True,False,False,Band 1: <= 0.001%
24,Eritrea,8.0950,4.0475,4.0475,8.0563,0.0387,0.0000,Low income,True,False,False,Band 1: <= 0.001%
25,Liberia,8.0871,4.0435,4.0435,8.0563,0.0308,0.0000,Low income,True,False,False,Band 1: <= 0.001%
26,Sierra Leone,8.0793,4.0397,4.0397,8.0563,0.0231,0.0000,Low income,True,False,False,Band 1: <= 0.001%
27,Bhutan,8.0685,4.0342,4.0342,8.0563,0.0122,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Lesotho,8.0660,4.0330,4.0330,8.0563,0.0097,0.0000,Lower middle income,True,False,False,Band 1: <= 0.001%
29,Burundi,8.0645,4.0322,4.0322,8.0563,0.0082,0.0000,Low income,True,False,False,Band 1: <= 0.001%
30,Gambia,8.0595,4.0298,4.0298,8.0563,0.0032,0.0000,Low income,True,False,False,Band 1: <= 0.001%
31,State of Palestine,8.0582,4.0291,4.0291,8.0563,0.0019,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
32,Papua New Guinea,7.8961,3.9480,3.9480,6.9821,0.1447,0.7692,Lower middle income,False,True,False,Band 2: 0.001% - 0.01%
33,Suriname,7.8026,3.9013,3.9013,6.9821,0.0513,0.7692,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
34,Haiti,7.7601,3.8801,3.8801,6.9821,0.0088,0.7692,Lower middle income,True,True,False,Band 2: 0.001% - 0.01%
35,Fiji,7.7572,3.8786,3.8786,6.9821,0.0058,0.7692,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
36,Jamaica,7.7548,3.8774,3.8774,6.9821,0.0035,0.7692,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
37,Mauritius,7.7520,3.8760,3.8760,6.9821,0.0006,0.7692,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
38,Saint Lucia,7.7515,3.8758,3.8758,6.9821,0.0002,0.7692,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
39,Seychelles,7.7515,3.8757,3.8757,6.9821,0.0001,0.7692,High income,False,True,False,Band 2: 0.001% - 0.01%
40,Antigua and Barbuda,7.7515,3.8757,3.8757,6.9821,0.0001,0.7692,High income,False,True,False,Band 2: 0.001% - 0.01%
41,Barbados,7.7515,3.8757,3.8757,6.9821,0.0001,0.7692,High income,False,True,False,Band 2: 0.001% - 0.01%
42,Maldives,7.7514,3.8757,3.8757,6.9821,0.0001,0.7692,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
43,Democratic Republic of the Congo,7.7067,3.8533,3.8533,6.9821,0.7246,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
44,Sudan,7.5791,3.7896,3.7896,6.9821,0.5970,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
45,Mongolia,7.4802,3.7401,3.7401,6.9821,0.4981,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
46,Niger,7.3869,3.6935,3.6935,6.9821,0.4049,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
47,Chad,7.3846,3.6923,3.6923,6.9821,0.4025,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
48,Angola,7.3806,3.6903,3.6903,6.9821,0.3985,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
49,Mali,7.3721,3.6860,3.6860,6.9821,0.3900,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
