Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Belize,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
2,Bhutan,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
3,Burundi,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
4,Cabo Verde,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
5,Central African Republic,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
6,Comoros,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Lower middle income,True,True,False,Band 1: <= 0.001%
7,Cook Islands,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
8,Dominica,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
9,Eritrea,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
10,Gambia,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
11,Grenada,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Guinea-Bissau,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Low income,True,True,False,Band 1: <= 0.001%
13,Kiribati,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Lower middle income,True,True,False,Band 1: <= 0.001%
14,Lesotho,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Lower middle income,True,False,False,Band 1: <= 0.001%
15,Liberia,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
16,Marshall Islands,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Micronesia (Federated States of),8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Lower middle income,False,True,False,Band 1: <= 0.001%
18,Nauru,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
19,Niue,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
20,Palau,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
21,Saint Kitts and Nevis,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
22,Saint Vincent and the Grenadines,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
23,Samoa,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
24,Sao Tome and Principe,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Lower middle income,False,True,False,Band 1: <= 0.001%
25,Sierra Leone,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
26,Solomon Islands,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Lower middle income,True,True,False,Band 1: <= 0.001%
27,State of Palestine,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Timor-Leste,8.5251,4.2626,4.2626,8.5251,0.0000,0.0000,Lower middle income,True,True,False,Band 1: <= 0.001%
