Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,8.9161,4.4581,4.4581,8.1415,0.0054,0.7692,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,8.9161,4.4581,4.4581,8.1415,0.0054,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,8.9151,4.4576,4.4576,8.1415,0.0044,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,8.9136,4.4568,4.4568,8.1415,0.0029,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,8.9131,4.4565,4.4565,8.1415,0.0023,0.7692,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,8.9115,4.4558,4.4558,8.1415,0.0008,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,8.9113,4.4556,4.4556,8.1415,0.0005,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,8.9111,4.4556,4.4556,8.1415,0.0004,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,8.9109,4.4555,4.4555,8.1415,0.0002,0.7692,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,8.9109,4.4555,4.4555,8.1415,0.0002,0.7692,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,8.9109,4.4554,4.4554,8.1415,0.0001,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,8.9109,4.4554,4.4554,8.1415,0.0001,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),8.9109,4.4554,4.4554,8.1415,0.0001,0.7692,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,8.9108,4.4554,4.4554,8.1415,0.0001,0.7692,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,8.9108,4.4554,4.4554,8.1415,0.0001,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,8.9108,4.4554,4.4554,8.1415,0.0001,0.7692,Upper middle income,False,True,False,Band 1: <= 0.001%
