Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,1.7587,0.8794,0.8794,1.6027,0.0022,0.1538,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,1.7587,0.8794,0.8794,1.6027,0.0021,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,1.7583,0.8792,0.8792,1.6027,0.0017,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,1.7577,0.8789,0.8789,1.6027,0.0011,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,1.7575,0.8788,0.8788,1.6027,0.0009,0.1538,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,1.7569,0.8784,0.8784,1.6027,0.0003,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,1.7568,0.8784,0.8784,1.6027,0.0002,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,1.7567,0.8784,0.8784,1.6027,0.0001,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,1.7566,0.8783,0.8783,1.6027,0.0001,0.1538,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,1.7566,0.8783,0.8783,1.6027,0.0001,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,1.7566,0.8783,0.8783,1.6027,0.0001,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,1.7566,0.8783,0.8783,1.6027,0.0001,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),1.7566,0.8783,0.8783,1.6027,0.0001,0.1538,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,1.7566,0.8783,0.8783,1.6027,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,1.7566,0.8783,0.8783,1.6027,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,1.7566,0.8783,0.8783,1.6027,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Niue,1.7566,0.8783,0.8783,1.6027,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
18,Saint Kitts and Nevis,1.7566,0.8783,0.8783,1.6027,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
19,Cook Islands,1.7566,0.8783,0.8783,1.6027,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
20,Marshall Islands,1.7566,0.8783,0.8783,1.6027,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
21,Tuvalu,1.7566,0.8783,0.8783,1.6027,0.0000,0.1538,Upper middle income,True,True,False,Band 1: <= 0.001%
22,Nauru,1.7566,0.8783,0.8783,1.6027,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
23,Central African Republic,1.6505,0.8253,0.8253,1.6027,0.0478,0.0000,Low income,True,False,False,Band 1: <= 0.001%
24,Eritrea,1.6120,0.8060,0.8060,1.6027,0.0093,0.0000,Low income,True,False,False,Band 1: <= 0.001%
25,Liberia,1.6101,0.8051,0.8051,1.6027,0.0074,0.0000,Low income,True,False,False,Band 1: <= 0.001%
26,Sierra Leone,1.6083,0.8041,0.8041,1.6027,0.0055,0.0000,Low income,True,False,False,Band 1: <= 0.001%
27,Bhutan,1.6057,0.8028,0.8028,1.6027,0.0029,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Lesotho,1.6051,0.8025,0.8025,1.6027,0.0023,0.0000,Lower middle income,True,False,False,Band 1: <= 0.001%
29,Burundi,1.6047,0.8023,0.8023,1.6027,0.0020,0.0000,Low income,True,False,False,Band 1: <= 0.001%
30,Gambia,1.6035,0.8018,0.8018,1.6027,0.0008,0.0000,Low income,True,False,False,Band 1: <= 0.001%
31,State of Palestine,1.6032,0.8016,0.8016,1.6027,0.0005,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
32,Papua New Guinea,1.5776,0.7888,0.7888,1.3890,0.0347,0.1538,Lower middle income,False,True,False,Band 2: 0.001% - 0.01%
33,Democratic Republic of the Congo,1.5629,0.7815,0.7815,1.3890,0.1739,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
34,Suriname,1.5552,0.7776,0.7776,1.3890,0.0123,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
35,Haiti,1.5450,0.7725,0.7725,1.3890,0.0021,0.1538,Lower middle income,True,True,False,Band 2: 0.001% - 0.01%
36,Fiji,1.5443,0.7721,0.7721,1.3890,0.0014,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
37,Jamaica,1.5437,0.7719,0.7719,1.3890,0.0008,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
38,Mauritius,1.5430,0.7715,0.7715,1.3890,0.0002,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
39,Saint Lucia,1.5429,0.7715,0.7715,1.3890,0.0000,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
40,Seychelles,1.5429,0.7715,0.7715,1.3890,0.0000,0.1538,High income,False,True,False,Band 2: 0.001% - 0.01%
41,Antigua and Barbuda,1.5429,0.7715,0.7715,1.3890,0.0000,0.1538,High income,False,True,False,Band 2: 0.001% - 0.01%
42,Barbados,1.5429,0.7715,0.7715,1.3890,0.0000,0.1538,High income,False,True,False,Band 2: 0.001% - 0.01%
43,Maldives,1.5429,0.7714,0.7714,1.3890,0.0000,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
44,Sudan,1.5323,0.7662,0.7662,1.3890,0.1433,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
45,Mongolia,1.5086,0.7543,0.7543,1.3890,0.1195,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
46,Niger,1.4862,0.7431,0.7431,1.3890,0.0972,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
47,Chad,1.4856,0.7428,0.7428,1.3890,0.0966,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
48,Angola,1.4847,0.7423,0.7423,1.3890,0.0956,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
49,Mali,1.4826,0.7413,0.7413,1.3890,0.0936,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
50,Ethiopia,1.4756,0.7378,0.7378,1.3890,0.0866,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
51,Mauritania,1.4681,0.7340,0.7340,1.3890,0.0791,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
52,United Republic of Tanzania,1.4570,0.7285,0.7285,1.3890,0.0679,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
53,Namibia,1.4522,0.7261,0.7261,1.3890,0.0632,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
54,Mozambique,1.4494,0.7247,0.7247,1.3890,0.0603,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
55,Zambia,1.4461,0.7230,0.7230,1.3890,0.0570,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
56,Brazil,1.4425,0.7212,0.7212,0.8014,0.6411,0.0000,Upper middle income,False,False,False,Band 5: 1.0% - 10.0%
57,Myanmar,1.4391,0.7195,0.7195,1.3890,0.0501,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
58,Afghanistan,1.4391,0.7195,0.7195,1.3890,0.0500,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
59,South Sudan,1.4375,0.7188,0.7188,1.3890,0.0485,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
60,Somalia,1.4372,0.7186,0.7186,1.3890,0.0481,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
61,Madagascar,1.4337,0.7168,0.7168,1.3890,0.0446,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
62,Yemen,1.4295,0.7148,0.7148,1.3890,0.0405,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
63,Zimbabwe,1.4187,0.7094,0.7094,1.3890,0.0297,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
64,Congo,1.4152,0.7076,0.7076,1.3890,0.0262,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
65,Burkina Faso,1.4100,0.7050,0.7050,1.3890,0.0210,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
66,Guinea,1.4079,0.7039,0.7039,1.3890,0.0188,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
67,Lao People's Democratic Republic,1.4067,0.7034,0.7034,1.3890,0.0177,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
68,Uganda,1.4044,0.7022,0.7022,1.3890,0.0154,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
