Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,1.7669,0.8834,0.8834,1.6113,0.0018,0.1538,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,1.7669,0.8834,0.8834,1.6113,0.0018,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,1.7666,0.8833,0.8833,1.6113,0.0015,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,1.7660,0.8830,0.8830,1.6113,0.0010,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,1.7659,0.8829,0.8829,1.6113,0.0008,0.1538,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,1.7654,0.8827,0.8827,1.6113,0.0003,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,1.7653,0.8826,0.8826,1.6113,0.0002,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,1.7652,0.8826,0.8826,1.6113,0.0001,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,1.7652,0.8826,0.8826,1.6113,0.0001,0.1538,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,1.7652,0.8826,0.8826,1.6113,0.0001,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Niue,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
18,Saint Kitts and Nevis,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
19,Cook Islands,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
20,Marshall Islands,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
21,Tuvalu,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,Upper middle income,True,True,False,Band 1: <= 0.001%
22,Nauru,1.7651,0.8826,0.8826,1.6113,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
23,Central African Republic,1.6511,0.8255,0.8255,1.6113,0.0398,0.0000,Low income,True,False,False,Band 1: <= 0.001%
24,Eritrea,1.6190,0.8095,0.8095,1.6113,0.0077,0.0000,Low income,True,False,False,Band 1: <= 0.001%
25,Liberia,1.6174,0.8087,0.8087,1.6113,0.0062,0.0000,Low income,True,False,False,Band 1: <= 0.001%
26,Sierra Leone,1.6159,0.8079,0.8079,1.6113,0.0046,0.0000,Low income,True,False,False,Band 1: <= 0.001%
27,Bhutan,1.6137,0.8068,0.8068,1.6113,0.0024,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Lesotho,1.6132,0.8066,0.8066,1.6113,0.0019,0.0000,Lower middle income,True,False,False,Band 1: <= 0.001%
29,Burundi,1.6129,0.8064,0.8064,1.6113,0.0016,0.0000,Low income,True,False,False,Band 1: <= 0.001%
30,Gambia,1.6119,0.8060,0.8060,1.6113,0.0006,0.0000,Low income,True,False,False,Band 1: <= 0.001%
31,State of Palestine,1.6116,0.8058,0.8058,1.6113,0.0004,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
32,Papua New Guinea,1.5792,0.7896,0.7896,1.3964,0.0289,0.1538,Lower middle income,False,True,False,Band 2: 0.001% - 0.01%
33,Suriname,1.5605,0.7803,0.7803,1.3964,0.0103,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
34,Haiti,1.5520,0.7760,0.7760,1.3964,0.0018,0.1538,Lower middle income,True,True,False,Band 2: 0.001% - 0.01%
35,Fiji,1.5514,0.7757,0.7757,1.3964,0.0012,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
36,Jamaica,1.5510,0.7755,0.7755,1.3964,0.0007,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
37,Mauritius,1.5504,0.7752,0.7752,1.3964,0.0001,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
38,Saint Lucia,1.5503,0.7752,0.7752,1.3964,0.0000,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
39,Seychelles,1.5503,0.7751,0.7751,1.3964,0.0000,0.1538,High income,False,True,False,Band 2: 0.001% - 0.01%
40,Antigua and Barbuda,1.5503,0.7751,0.7751,1.3964,0.0000,0.1538,High income,False,True,False,Band 2: 0.001% - 0.01%
41,Barbados,1.5503,0.7751,0.7751,1.3964,0.0000,0.1538,High income,False,True,False,Band 2: 0.001% - 0.01%
42,Maldives,1.5503,0.7751,0.7751,1.3964,0.0000,0.1538,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
43,Democratic Republic of the Congo,1.5413,0.7707,0.7707,1.3964,0.1449,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
44,Sudan,1.5158,0.7579,0.7579,1.3964,0.1194,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
45,Mongolia,1.4960,0.7480,0.7480,1.3964,0.0996,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
46,Niger,1.4774,0.7387,0.7387,1.3964,0.0810,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
47,Chad,1.4769,0.7385,0.7385,1.3964,0.0805,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
48,Angola,1.4761,0.7381,0.7381,1.3964,0.0797,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
49,Mali,1.4744,0.7372,0.7372,1.3964,0.0780,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
50,Ethiopia,1.4686,0.7343,0.7343,1.3964,0.0721,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
51,Mauritania,1.4623,0.7312,0.7312,1.3964,0.0659,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
52,United Republic of Tanzania,1.4530,0.7265,0.7265,1.3964,0.0566,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
53,Namibia,1.4490,0.7245,0.7245,1.3964,0.0526,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
54,Mozambique,1.4467,0.7233,0.7233,1.3964,0.0503,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
55,Zambia,1.4439,0.7220,0.7220,1.3964,0.0475,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
56,Myanmar,1.4381,0.7191,0.7191,1.3964,0.0417,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
57,Afghanistan,1.4381,0.7191,0.7191,1.3964,0.0417,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
58,South Sudan,1.4368,0.7184,0.7184,1.3964,0.0404,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
59,Somalia,1.4365,0.7183,0.7183,1.3964,0.0401,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
