Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Belize,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
2,Bhutan,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Lower middle income,False,False,False,Band 1: <= 0.001%
3,Burundi,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
4,Cabo Verde,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
5,Central African Republic,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
6,Comoros,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Lower middle income,True,True,False,Band 1: <= 0.001%
7,Cook Islands,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,High income,False,True,False,Band 1: <= 0.001%
8,Dominica,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
9,Eritrea,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
10,Gambia,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Low income,True,False,False,Band 1: <= 0.001%
11,Grenada,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Guinea-Bissau,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Low income,True,True,False,Band 1: <= 0.001%
13,Kiribati,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Lower middle income,True,True,False,Band 1: <= 0.001%
14,Lesotho,1.7050,0.8525,0.8525,1.7050,0.0000,0.0000,Lower middle income,True,False,False,Band 1: <= 0.001%
