Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,1.7832,0.8916,0.8916,1.6283,0.0011,0.1538,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,1.7832,0.8916,0.8916,1.6283,0.0011,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,1.7830,0.8915,0.8915,1.6283,0.0009,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,1.7827,0.8914,0.8914,1.6283,0.0006,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,1.7826,0.8913,0.8913,1.6283,0.0005,0.1538,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,1.7823,0.8912,0.8912,1.6283,0.0002,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,1.7823,0.8911,0.8911,1.6283,0.0001,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,1.7822,0.8911,0.8911,1.6283,0.0001,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,1.7822,0.8911,0.8911,1.6283,0.0000,0.1538,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,1.7822,0.8911,0.8911,1.6283,0.0000,0.1538,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,1.7822,0.8911,0.8911,1.6283,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,1.7822,0.8911,0.8911,1.6283,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),1.7822,0.8911,0.8911,1.6283,0.0000,0.1538,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,1.7822,0.8911,0.8911,1.6283,0.0000,0.1538,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,1.7822,0.8911,0.8911,1.6283,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,1.7822,0.8911,0.8911,1.6283,0.0000,0.1538,Upper middle income,False,True,False,Band 1: <= 0.001%
