iso3c,party,WB Income Group,WB Region,WB Lending Category,rank_iusaf,is_ldc,is_sids,un_band,band_weight,rank,alloc_iusaf,share_iusaf,rank_strict,alloc_strict,share_strict,rank_gini_minimum,alloc_gini_minimum,share_gini_minimum,rank_boundary,alloc_boundary,share_boundary
COK,Cook Islands,High income,,,1,FALSE,TRUE,Band 1: <= 0.001%,1.5,1,8525149,0.008525149,19,8910794,0.008910794,19,8825572,0.008825572,19,8740351,0.008740351
ERI,Eritrea,Low income,Sub-Saharan Africa,IDA,2,TRUE,FALSE,Band 1: <= 0.001%,1.5,2,8525149,0.008525149,24,8164755,0.008164755,24,8094996,0.008094996,24,8025236,0.008025236
GMB,Gambia,Low income,Sub-Saharan Africa,IDA,3,TRUE,FALSE,Band 1: <= 0.001%,1.5,3,8525149,0.008525149,30,8143458,0.008143458,30,8059500,0.0080595,30,7975543,0.007975543
STP,Sao Tome and Principe,Lower middle income,Sub-Saharan Africa,IDA,4,FALSE,TRUE,Band 1: <= 0.001%,1.5,4,8525149,0.008525149,9,8910932,0.008910932,9,8825804,0.008825804,9,8740675,0.008740675
BLZ,Belize,Upper middle income,Latin America & Caribbean,Blend,5,FALSE,TRUE,Band 1: <= 0.001%,1.5,5,8525149,0.008525149,3,8915122,0.008915122,3,8832787,0.008832787,3,8750452,0.008750452
SLE,Sierra Leone,Low income,Sub-Saharan Africa,IDA,6,TRUE,FALSE,Band 1: <= 0.001%,1.5,6,8525149,0.008525149,26,8155359,0.008155359,26,8079336,0.008079336,26,8003312,0.008003312
NRU,Nauru,High income,East Asia & Pacific,IBRD,7,FALSE,TRUE,Band 1: <= 0.001%,1.5,7,8525149,0.008525149,22,8910752,0.008910752,22,8825503,0.008825503,22,8740254,0.008740254
GNB,Guinea-Bissau,Low income,Sub-Saharan Africa,IDA,8,TRUE,TRUE,Band 1: <= 0.001%,1.5,8,8525149,0.008525149,1,8916141,0.008916141,1,8834484,0.008834484,1,8752828,0.008752828
SLB,Solomon Islands,Lower middle income,East Asia & Pacific,IDA,9,TRUE,TRUE,Band 1: <= 0.001%,1.5,9,8525149,0.008525149,2,8916116,0.008916116,2,8834443,0.008834443,2,8752770,0.00875277
FSM,Micronesia (Federated States of),Lower middle income,East Asia & Pacific,IDA,10,FALSE,TRUE,Band 1: <= 0.001%,1.5,10,8525149,0.008525149,13,8910882,0.008910882,13,8825720,0.00882572,13,8740558,0.008740558
DMA,Dominica,Upper middle income,Latin America & Caribbean,Blend,11,FALSE,TRUE,Band 1: <= 0.001%,1.5,11,8525149,0.008525149,11,8910892,0.008910892,11,8825736,0.008825736,11,8740581,0.008740581
CAF,Central African Republic,Low income,Sub-Saharan Africa,IDA,12,TRUE,FALSE,Band 1: <= 0.001%,1.5,12,8525149,0.008525149,23,8260984,0.008260984,23,8255377,0.008255377,23,8249770,0.00824977
BTN,Bhutan,Lower middle income,South Asia,IDA,13,FALSE,FALSE,Band 1: <= 0.001%,1.5,13,8525149,0.008525149,27,8148831,0.008148831,27,8068456,0.008068456,27,7988080,0.00798808
VUT,Vanuatu,Lower middle income,East Asia & Pacific,IDA,14,FALSE,TRUE,Band 1: <= 0.001%,1.5,14,8525149,0.008525149,5,8913086,0.008913086,5,8829393,0.008829393,5,8745700,0.0087457
