"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Land area (sq. km)","AG.LND.TOTL.K2","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","","",
"Africa Eastern and Southern","AFE","Land area (sq. km)","AG.LND.TOTL.K2","","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","11094611","12195611","12195611","12195611","12195611","12195611","12195611","12195611","12195611","12195611","12195611","12195611","12344190.925","12344236.126","12344228.231","12344274.806","12344236.794","12344269.192","12344957.103","12345207.089","14845137.22","14845099.378","14845052.485","14845106.175","14845113.959","14845102.033","14845117.114","14845129.446","14845090.229","14845090.229","14845090.229","","","",
"Afghanistan","AFG","Land area (sq. km)","AG.LND.TOTL.K2","","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","652230","","",
"Africa Western and Central","AFW","Land area (sq. km)","AG.LND.TOTL.K2","","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046580","9046180","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045780","9045773","9045770","9045773","9045773","","","",
"Angola","AGO","Land area (sq. km)","AG.LND.TOTL.K2","","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","","",
"Albania","ALB","Land area (sq. km)","AG.LND.TOTL.K2","","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","","",
"Andorra","AND","Land area (sq. km)","AG.LND.TOTL.K2","","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","","",
"Arab World","ARB","Land area (sq. km)","AG.LND.TOTL.K2","","11235451","11235451","11235451","11235451","11235451","11235451","11235451","11235451","11235451","11235451","11235451","11235451","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235411","11235431","11235431","11235431","11235431","11235431","11235431","11235431","11235431","11235431","11235431","11235431","11235251","11235241","11235251","11235311","11235331","11235341","11232831","11232823","11232828","13100831","13100639","13100520","13100528","13100529","13100530","13100528","13100544","13100549","13100559","13096083.709","","","",
"United Arab Emirates","ARE","Land area (sq. km)","AG.LND.TOTL.K2","","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","","",
"Argentina","ARG","Land area (sq. km)","AG.LND.TOTL.K2","","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","","",
