Party,UN_scale_percentage,CBD_scale_with_ceiling_percentage,CBD_assessed_contribution_usd,extra_col_4,extra_col_5
Afghanistan,0.006,0.008,1 056,1 128,2 184
Albania,0.008,0.010,1 408,1 504,2 912
Algeria,0.109,0.136,19 183,20 496,39 679
Andorra,0.005,0.006,880,940,1 820
Angola,0.010,0.010,1 408,1 504,2 912
Antigua and Barbuda,0.002,0.003,352,376,728
Argentina,0.719,0.899,126 540,135 198,261 738
Armenia,0.007,0.009,1 232,1 316,2 548
Australia,2.111,2.639,371 524,396 945,768 469
Austria,0.679,0.849,119 500,127 677,247 177
Azerbaijan,0.030,0.038,5 280,5 641,10 921
Bahamas,0.019,0.024,3 344,3 573,6 917
Bahrain,0.054,0.068,9 504,10 154,19 658
Bangladesh,0.010,0.010,1 408,1 504,2 912
Barbados,0.008,0.010,1 408,1 504,2 912
Belarus,0.041,0.051,7 216,7 709,14 925
Belgium,0.828,1.035,145 723,155 694,301 418
Belize,0.001,0.001,176,188,364
Benin,0.005,0.006,880,940,1 820
Bhutan,0.001,0.001,176,188,364
Bolivia (Plurinational State of),0.019,0.024,3 344,3 573,6 917
Bosnia and Herzegovina,0.012,0.015,2 112,2 256,4 368
Botswana,0.015,0.019,2 640,2 821,5 460
Brazil,2.013,2.516,354 277,378 517,732 794
Brunei Darussalam,0.021,0.026,3 696,3 949,7 645
Bulgaria,0.056,0.070,9 856,10 530,20 386
Burkina Faso,0.004,0.005,704,752,1 456
Burundi,0.001,0.001,176,188,364
Cabo Verde,0.001,0.001,176,188,364
Cambodia,0.007,0.009,1 232,1 316,2 548
Cameroon,0.013,0.016,2 288,2 444,4 732
Canada,2.628,3.285,462 513,494 160,956 673
Central African Republic,0.001,0.001,176,188,364
Chad,0.003,0.004,528,564,1 092
Chile,0.420,0.525,73 918,78 975,152 893
China,15.254,19.069,2 684 619,2 868 309,5 552 928
Colombia,0.246,0.308,43 295,46 257,89 552
Comoros,0.001,0.001,176,188,364
Congo,0.005,0.006,880,940,1 820
Cook Islands,0.001,0.001,176,188,364
Costa Rica,0.069,0.086,12 144,12 975,25 118
Côte d’Ivoire,0.022,0.028,3 872,4 137,8 009
Croatia,0.091,0.114,16 015,17 111,33 127
Cuba,0.095,0.119,16 719,17 863,34 583
Cyprus,0.036,0.045,6 336,6 769,13 105
Czechia,0.340,0.425,59 838,63 932,123 771
Democratic People’s Republic of Korea,0.005,0.006,880,940,1 820
Democratic Republic of the Congo,0.010,0.010,1 408,1 504,2 912
Denmark,0.553,0.691,97 325,103 984,201 309
Djibouti,0.001,0.001,176,188,364
Dominica,0.001,0.001,176,188,364
Dominican Republic,0.067,0.084,11 792,12 598,24 390
Ecuador,0.077,0.096,13 552,14 479,28 030
Egypt,0.139,0.174,24 463,26 137,50 600
El Salvador,0.013,0.016,2 288,2 444,4 732
Equatorial Guinea,0.012,0.015,2 112,2 256,4 368
Eritrea,0.001,0.001,176,188,364
Estonia,0.044,0.055,7 744,8 274,16 017
Eswatini,0.002,0.003,352,376,728
Ethiopia,0.010,0.010,1 408,1 504,2 912
European Union,–,2.500,351 966,376 049,728 015
Fiji,0.004,0.005,704,752,1 456
Finland,0.417,0.521,73 390,78 411,151 801
France,4.318,5.398,759 944,811 942,1 571 886
Gabon,0.013,0.016,2 288,2 444,4 732
Gambia,0.001,0.001,176,188,364
Georgia,0.008,0.010,1 408,1 504,2 912
Germany,6.111,7.639,1 075 502,1 149 091,2 224 593
Ghana,0.024,0.030,4 224,4 513,8 737
Greece,0.325,0.406,57 198,61 112,118 310
Grenada,0.001,0.001,176,188,364
Guatemala,0.041,0.051,7 216,7 709,14 925
Guinea,0.003,0.004,528,564,1 092
Guinea-Bissau,0.001,0.001,176,188,364
Guyana,0.004,0.005,704,752,1 456
Haiti,0.006,0.008,1 056,1 128,2 184
Honduras,0.009,0.011,1 584,1 692,3 276
Hungary,0.228,0.285,40 127,42 872,82 999
Iceland,0.036,0.045,6 336,6 769,13 105
India,1.044,1.305,183 738,196 310,380 048
Indonesia,0.549,0.686,96 621,103 232,199 853
Iran (Islamic Republic of),0.371,0.464,65 294,69 762,135 055
Iraq,0.128,0.160,22 527,24 069,46 596
Ireland,0.439,0.549,77 262,82 548,159 810
Israel,0.561,0.701,98 733,105 488,204 221
Italy,3.189,3.987,561 246,599 648,1 160 895
Jamaica,0.008,0.010,1 408,1 504,2 912
Japan,8.033,10.042,1 413 763,1 510 497,2 924 260
Jordan,0.022,0.028,3 872,4 137,8 009
Kazakhstan,0.133,0.166,23 407,25 009,48 416
Kenya,0.030,0.038,5 280,5 641,10 921
Kiribati,0.001,0.001,176,188,364
Kuwait,0.234,0.293,41 183,44 001,85 183
Kyrgyzstan,0.002,0.003,352,376,728
Lao People’s Democratic Republic,0.007,0.009,1 232,1 316,2 548
Latvia,0.050,0.063,8 800,9 402,18 202
Lebanon,0.036,0.045,6 336,6 769,13 105
Lesotho,0.001,0.001,176,188,364
Liberia,0.001,0.001,176,188,364
Libya,0.018,0.023,3 168,3 385,6 553
Liechtenstein,0.010,0.013,1 760,1 880,3 640
Lithuania,0.077,0.096,13 552,14 479,28 030
Luxembourg,0.068,0.085,11 968,12 786,24 754
Madagascar,0.004,0.005,704,752,1 456
Malawi,0.002,0.003,352,376,728
Malaysia,0.348,0.435,61 246,65 437,126 683
