party_raw,party_mapped
"Bolivia (Plurinational
State of)",Bolivia (Plurinational State of)
"Bosnia and
Herzegovina",Bosnia and Herzegovina
"Central African
Republic",Central African Republic
"Democratic People’s
Republic of Korea",Democratic People's Republic of Korea
"Democratic Republic
of the Congo",Democratic Republic of the Congo
"Iran (Islamic Republic
of)",Iran (Islamic Republic of)
"Lao People’s
Democratic
Republic",Lao People's Democratic Republic
"Micronesia (Federated
States of)",Micronesia (Federated States of)
"Netherlands (Kingdom
of the)",Netherlands (Kingdom of the)
"Saint Vincent and the
Grenadines",Saint Vincent and the Grenadines
"Sao Tome and
Principe",Sao Tome and Principe
SierraLeone,Sierra Leone
"United Kingdom of
Great Britain and
Northern Ireland",United Kingdom of Great Britain and Northern Ireland
"United Republic of
Tanzania",United Republic of Tanzania
"Venezuela (Bolivarian
Republic of)",Venezuela (Bolivarian Republic of)
