Economy,Code,Region,Income group,Lending category
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD
American Samoa,ASM,East Asia & Pacific,High income,NA
Andorra,AND,Europe & Central Asia,High income,NA
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD
Aruba,ABW,Latin America & Caribbean,High income,NA
Australia,AUS,East Asia & Pacific,High income,NA
Austria,AUT,Europe & Central Asia,High income,NA
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD
"Bahamas, The",BHS,Latin America & Caribbean,High income,NA
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income,NA
Bangladesh,BGD,South Asia,Lower middle income,IDA
Barbados,BRB,Latin America & Caribbean,High income,IBRD
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD
Belgium,BEL,Europe & Central Asia,High income,NA
Belize,BLZ,Latin America & Caribbean,Upper middle income,Blend
Benin,BEN,Sub-Saharan Africa,Lower middle income,IDA
Bermuda,BMU,North America,High income,NA
Bhutan,BTN,South Asia,Lower middle income,IDA
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD
British Virgin Islands,VGB,Latin America & Caribbean,High income,NA
Brunei Darussalam,BRN,East Asia & Pacific,High income,NA
Bulgaria,BGR,Europe & Central Asia,High income,IBRD
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA
Burundi,BDI,Sub-Saharan Africa,Low income,IDA
Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income,Blend
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend
Canada,CAN,North America,High income,NA
Cayman Islands,CYM,Latin America & Caribbean,High income,NA
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA
Chad,TCD,Sub-Saharan Africa,Low income,IDA
Channel Islands,CHI,Europe & Central Asia,High income,NA
Chile,CHL,Latin America & Caribbean,High income,IBRD
China,CHN,East Asia & Pacific,Upper middle income,IBRD
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA
Democratic Republic of the Congo,COD,Sub-Saharan Africa,Low income,IDA
Congo,COG,Sub-Saharan Africa,Lower middle income,Blend
Costa Rica,CRI,Latin America & Caribbean,High income,IBRD
Côte d’Ivoire,CIV,Sub-Saharan Africa,Lower middle income,Blend
Croatia,HRV,Europe & Central Asia,High income,IBRD
Cuba,CUB,Latin America & Caribbean,Upper middle income,NA
Curaçao,CUW,Latin America & Caribbean,High income,NA
Cyprus,CYP,Europe & Central Asia,High income,NA
Czechia,CZE,Europe & Central Asia,High income,NA
Denmark,DNK,Europe & Central Asia,High income,NA
Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD
Egypt,EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
El Salvador,SLV,Latin America & Caribbean,Upper middle income,IBRD
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA
Estonia,EST,Europe & Central Asia,High income,NA
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,Blend
Ethiopia,ETH,Sub-Saharan Africa,NA,IDA
Faroe Islands,FRO,Europe & Central Asia,High income,NA
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend
Finland,FIN,Europe & Central Asia,High income,NA
France,FRA,Europe & Central Asia,High income,NA
French Polynesia,PYF,East Asia & Pacific,High income,NA
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD
Gambia,GMB,Sub-Saharan Africa,Low income,IDA
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD
Germany,DEU,Europe & Central Asia,High income,NA
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA
Gibraltar,GIB,Europe & Central Asia,High income,NA
Greece,GRC,Europe & Central Asia,High income,NA
Greenland,GRL,Europe & Central Asia,High income,NA
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend
Guam,GUM,East Asia & Pacific,High income,NA
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD
Guinea,GIN,Sub-Saharan Africa,Lower middle income,IDA
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,IDA
Guyana,GUY,Latin America & Caribbean,High income,IDA
Haiti,HTI,Latin America & Caribbean,Lower middle income,IDA
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,NA
Hungary,HUN,Europe & Central Asia,High income,NA
Iceland,ISL,Europe & Central Asia,High income,NA
India,IND,South Asia,Lower middle income,IBRD
Indonesia,IDN,East Asia & Pacific,Upper middle income,IBRD
"Iran (Islamic Republic of)",IRN,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD
Iraq,IRQ,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD
Ireland,IRL,Europe & Central Asia,High income,NA
Isle of Man,IMN,Europe & Central Asia,High income,NA
Israel,ISR,"Middle East, North Africa, Afghanistan & Pakistan",High income,NA
Italy,ITA,Europe & Central Asia,High income,NA
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD
Japan,JPN,East Asia & Pacific,High income,NA
Jordan,JOR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Blend
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA
Democratic People’s Republic of Korea,PRK,East Asia & Pacific,Low income,NA
Republic of Korea,KOR,East Asia & Pacific,High income,NA
Kosovo,XKX,Europe & Central Asia,Upper middle income,IDA
Kuwait,KWT,"Middle East, North Africa, Afghanistan & Pakistan",High income,NA
Kyrgyzstan,KGZ,Europe & Central Asia,Lower middle income,IDA
Lao People’s Democratic Republic,LAO,East Asia & Pacific,Lower middle income,IDA
Latvia,LVA,Europe & Central Asia,High income,NA
Lebanon,LBN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
