party,un_band,is_ldc,is_sids,un_share_pct,land_area_km2,alloc_position_a_strict_1p5pct_usdm,alloc_position_b_bounded_3p5pct_usdm,alloc_position_c_even_5p0pct_usdm,change_a_to_b_usdm,change_a_to_c_usdm,sosac_weight_fixed,fund_size_usd_m
Tuvalu,Band 1,True,True,0.1,30.0,8.911,8.74,8.612,-0.17,-0.298,0.03,1000
Belize,Band 1,False,True,0.1,22810.0,8.915,8.75,8.627,-0.165,-0.288,0.03,1000
Guinea-Bissau,Band 1,True,True,0.1,28120.0,8.916,8.753,8.63,-0.163,-0.286,0.03,1000
Jamaica,Band 2,False,True,0.7,10830.0,7.827,7.682,7.574,-0.145,-0.254,0.03,1000
Georgia,Band 2,False,False,0.9,69490.0,7.069,6.939,6.842,-0.13,-0.228,0.03,1000
Nepal,Band 2,True,False,1.0,143350.0,7.083,6.972,6.889,-0.111,-0.194,0.03,1000
Guinea,Band 2,True,False,0.4,245720.0,7.103,7.018,6.954,-0.085,-0.149,0.03,1000
Malaysia,Band 4,False,False,32.6,328550.0,5.219,5.195,5.177,-0.024,-0.042,0.03,1000
Cameroon,Band 3,False,False,1.4,472710.0,6.061,6.057,6.054,-0.004,-0.007,0.03,1000
Madagascar,Band 2,True,False,0.4,581800.0,7.168,7.169,7.169,0.001,0.002,0.03,1000
Botswana,Band 3,False,False,1.3,566730.0,6.079,6.099,6.114,0.02,0.035,0.03,1000
United Republic of Tanzania,Band 2,True,False,1.0,885800.0,7.226,7.305,7.364,0.079,0.138,0.03,1000
Egypt,Band 4,False,False,18.2,995450.0,5.347,5.494,5.604,0.147,0.256,0.03,1000
Mongolia,Band 2,False,False,0.4,1558499.786,7.355,7.606,7.794,0.251,0.439,0.03,1000
Mexico,Band 5,False,False,113.7,1943950.0,4.444,4.855,5.164,0.412,0.721,0.03,1000
Algeria,Band 3,False,False,8.7,2381740.0,6.427,6.911,7.274,0.484,0.847,0.03,1000
Kazakhstan,Band 4,False,False,13.1,2699700.0,5.674,6.256,6.693,0.582,1.019,0.03,1000
Argentina,Band 4,False,False,49.0,2736690.0,5.681,6.273,6.717,0.592,1.036,0.03,1000
India,Band 5,False,False,110.6,2973190.0,4.641,5.316,5.822,0.675,1.181,0.03,1000
Brazil,Band 5,False,False,141.1,8358140.0,5.674,7.725,9.264,2.052,3.591,0.03,1000
China,Band 6,False,False,2000.4,9388210.0,3.971,6.326,8.093,2.355,4.121,0.03,1000
