tsac_weight_pct,tsac_weight,sosac_weight_fixed,band1_mean_alloc_usdm,band2_mean_alloc_usdm,china_alloc_usdm,brazil_alloc_usdm,tuvalu_alloc_usdm,gambia_alloc_usdm,gini_coefficient,fund_size_usd_m,position
0.0,0.0,0.03,8.8153,7.3102,2.2052,4.1347,9.0386,8.2694,0.101052,1000,
0.5,0.005,0.03,8.775,7.2995,2.7939,4.6477,8.996,8.2274,0.098449,1000,
1.0,0.01,0.03,8.7348,7.2887,3.3827,5.1606,8.9534,8.1854,0.095846,1000,
1.5,0.015,0.03,8.6945,7.278,3.9714,5.6736,8.9108,8.1435,0.093311,1000,A — Strict
2.0,0.02,0.03,8.6542,7.2672,4.5602,6.1865,8.8681,8.1015,0.090877,1000,
2.5,0.025,0.03,8.614,7.2565,5.1489,6.6995,8.8255,8.0595,0.088599,1000,
3.0,0.03,0.03,8.5737,7.2457,5.7377,7.2124,8.7829,8.0175,0.086609,1000,
3.5,0.035,0.03,8.5334,7.2349,6.3264,7.7254,8.7403,7.9755,0.085076,1000,B — Bounded
4.0,0.04,0.03,8.4932,7.2242,6.9152,8.2384,8.6976,7.9336,0.083908,1000,
4.5,0.045,0.03,8.4529,7.2134,7.5039,8.7513,8.655,7.8916,0.083184,1000,
5.0,0.05,0.03,8.4126,7.2027,8.0927,9.2643,8.6124,7.8496,0.082891,1000,C — Even
5.5,0.055,0.03,8.3724,7.1919,8.6814,9.7772,8.5698,7.8076,0.082875,1000,
6.0,0.06,0.03,8.3321,7.1812,9.2702,10.2902,8.5271,7.7656,0.083197,1000,
6.5,0.065,0.03,8.2918,7.1704,9.8589,10.8032,8.4845,7.7237,0.083626,1000,
7.0,0.07,0.03,8.2516,7.1597,10.4476,11.3161,8.4419,7.6817,0.08415,1000,
7.5,0.075,0.03,8.2113,7.1489,11.0364,11.8291,8.3993,7.6397,0.084782,1000,
8.0,0.08,0.03,8.171,7.1382,11.6251,12.342,8.3566,7.5977,0.08563,1000,
8.5,0.085,0.03,8.1308,7.1274,12.2139,12.855,8.314,7.5558,0.086609,1000,
9.0,0.09,0.03,8.0905,7.1167,12.8026,13.3679,8.2714,7.5138,0.087663,1000,
9.5,0.095,0.03,8.0502,7.1059,13.3914,13.8809,8.2288,7.4718,0.088873,1000,
10.0,0.1,0.03,8.01,7.0952,13.9801,14.3939,8.1861,7.4298,0.090187,1000,
