party,eligible,current_share,current_allocation_m,baseline_share,baseline_allocation_m,share_delta,allocation_delta_m,allocation_delta_pct
Algeria,True,0.007274095014334904,7.274095014334904,0.006251776072747941,6.2517760727479414,0.0010223189415869633,1.0223189415869625,16.352456161111455
Egypt,True,0.005603633977348167,5.603633977348167,0.005399261153736857,5.399261153736858,0.00020437282361130977,0.20437282361130915,3.7851998225694565
Libya,True,0.006876370975920757,6.876370975920757,0.006251776072747941,6.2517760727479414,0.0006245949031728161,0.6245949031728157,9.990679383023354
Morocco,True,0.0060369188444405345,6.036918844440534,0.006251776072747941,6.2517760727479414,-0.00021485722830740656,-0.21485722830740706,-3.436739029153478
Sudan,True,0.007991452647205015,7.991452647205015,0.007388462631429384,7.388462631429383,0.0006029900157756311,0.6029900157756316,8.161237944286338
Tunisia,True,0.005850943544318047,5.8509435443180475,0.006251776072747941,6.2517760727479414,-0.00040083252842989386,-0.4008325284298939,-6.4114984888399835
Burundi,True,0.007859552480402564,7.859552480402564,0.008525149190110827,8.525149190110827,-0.0006655967097082636,-0.6655967097082636,-7.80744940487793
Comoros,True,0.008613557616603781,8.61355761660378,0.008525149190110827,8.525149190110827,8.840842649295369e-05,0.08840842649295233,1.037030842762331
Djibouti,True,0.006812202790973599,6.812202790973599,0.007388462631429384,7.388462631429383,-0.0005762598404557848,-0.5762598404557844,-7.799455302168866
Eritrea,True,0.007920597047688455,7.920597047688456,0.008525149190110827,8.525149190110827,-0.000604552142422372,-0.6045521424223717,-7.091396630614419
Ethiopia,True,0.007518747080383883,7.518747080383883,0.007388462631429384,7.388462631429383,0.00013028444895449905,0.13028444895449987,1.7633499071957117
Kenya,True,0.006122942999874212,6.122942999874212,0.006251776072747941,6.2517760727479414,-0.00012883307287372883,-0.12883307287372947,-2.0607435611029725
Madagascar,True,0.007169285083385863,7.169285083385863,0.007388462631429384,7.388462631429383,-0.00021917754804352037,-0.21917754804352008,-2.9664838137121046
Malawi,True,0.006857651487745128,6.8576514877451284,0.007388462631429384,7.388462631429383,-0.0005308111436842554,-0.5308111436842546,-7.1843246716342
Mauritius,True,0.007567892916832901,7.567892916832901,0.007388462631429384,7.388462631429383,0.00017943028540351718,0.1794302854035177,2.42851990128838
Mozambique,True,0.007300057156318628,7.300057156318627,0.007388462631429384,7.388462631429383,-8.840547511075603e-05,-0.08840547511075592,-1.1965341035182697
Rwanda,True,0.006813155232017053,6.813155232017053,0.007388462631429384,7.388462631429383,-0.0005753073994123311,-0.5753073994123303,-7.786564378969195
Seychelles,True,0.007566910432347137,7.566910432347137,0.007388462631429384,7.388462631429383,0.0001784478009177531,0.1784478009177537,2.4152223516522127
