party,un_share,region,sub_region,intermediate_region,is_ldc,is_sids,has_income_data,WB Income Group,is_eu_ms,is_cbd_party,land_area_km2,has_land_area,un_band,un_band_weight,eligible,iusaf_share,tsac_share,sosac_share,final_share,inverted_share,total_allocation,iplc_component,state_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt
Algeria,0.087,Africa,Northern Africa,NA,False,False,True,Upper middle income,False,True,2381740.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.030449220548135984,0.0,0.007274095014334904,0.007274095014334904,7.274095014334904,3.637047507167452,3.637047507167452,5.7516339869281055,1.5224610274067991,0.0
Egypt,0.182,Africa,Northern Africa,NA,False,False,True,Lower middle income,False,True,995450.0,True,Band 4: 0.1% - 1.0%,0.95,True,0.005399261153736857,0.012726274318205163,0.0,0.005603633977348167,0.005603633977348167,5.603633977348167,2.8018169886740836,2.8018169886740836,4.967320261437909,0.6363137159102581,0.0
Libya,0.04,Africa,Northern Africa,NA,False,False,True,Upper middle income,False,True,1759540.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.022494739779853043,0.0,0.006876370975920757,0.006876370975920757,6.876370975920757,3.4381854879603786,3.4381854879603786,5.7516339869281055,1.1247369889926522,0.0
Morocco,0.059,Africa,Northern Africa,NA,False,False,True,Lower middle income,False,True,446300.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.005705697150248595,0.0,0.0060369188444405345,0.0060369188444405345,6.036918844440534,3.018459422220267,3.018459422220267,5.7516339869281055,0.2852848575124297,0.0
Sudan,0.008,Africa,Northern Africa,NA,True,False,True,Low income,False,True,1868000.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.023881340525799634,0.0,0.007991452647205015,0.007991452647205015,7.991452647205015,3.9957263236025073,3.9957263236025073,6.7973856209150325,1.1940670262899817,0.0
Tunisia,0.018,Africa,Northern Africa,NA,False,False,True,Lower middle income,False,True,155360.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.0019861911477988387,0.0,0.005850943544318047,0.005850943544318047,5.8509435443180475,2.9254717721590238,2.9254717721590238,5.7516339869281055,0.09930955738994195,0.0
Burundi,0.001,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Low income,False,True,25680.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,0.00032830451001206347,0.0,0.007859552480402564,0.007859552480402564,7.859552480402564,3.929776240201282,3.929776240201282,7.8431372549019605,0.016415225500603172,0.0
Comoros,0.001,Africa,Sub-Saharan Africa,Eastern Africa,True,True,True,Lower middle income,False,True,1861.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,2.3791849421045566e-05,0.02564102564102564,0.008613557616603781,0.008613557616603781,8.61355761660378,4.30677880830189,4.30677880830189,7.8431372549019605,0.0011895924710522783,0.7692307692307692
Djibouti,0.002,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Lower middle income,False,True,23180.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.0002963434011713252,0.0,0.006812202790973599,0.006812202790973599,6.812202790973599,3.4061013954867994,3.4061013954867994,6.7973856209150325,0.014817170058566259,0.0
Eritrea,0.001,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Low income,False,True,121178.2,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,0.0015491958557298999,0.0,0.007920597047688455,0.007920597047688455,7.920597047688456,3.960298523844228,3.960298523844228,7.8431372549019605,0.07745979278649501,0.0
Ethiopia,0.01,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Low income,False,True,1128498.8,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.01442722918937701,0.0,0.007518747080383883,0.007518747080383883,7.518747080383883,3.7593735401919415,3.7593735401919415,6.7973856209150325,0.7213614594688506,0.0
Kenya,0.037,Africa,Sub-Saharan Africa,Eastern Africa,False,False,True,Lower middle income,False,True,580876.3,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.007426180258922134,0.0,0.006122942999874212,0.006122942999874212,6.122942999874212,3.061471499937106,3.061471499937106,5.7516339869281055,0.37130901294610674,0.0
Madagascar,0.004,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Low income,False,True,581800.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.00743798924941661,0.0,0.007169285083385863,0.007169285083385863,7.169285083385863,3.5846425416929315,3.5846425416929315,6.7973856209150325,0.3718994624708305,0.0
Malawi,0.003,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Low income,False,True,94280.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.0012053173366019215,0.0,0.006857651487745128,0.006857651487745128,6.8576514877451284,3.4288257438725642,3.4288257438725642,6.7973856209150325,0.060265866830096076,0.0
Mauritius,0.01,Africa,Sub-Saharan Africa,Eastern Africa,False,True,True,Upper middle income,False,True,1997.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,2.5530533741981728e-05,0.02564102564102564,0.007567892916832901,0.007567892916832901,7.567892916832901,3.7839464584164504,3.7839464584164504,6.7973856209150325,0.0012765266870990864,0.7692307692307692
Mozambique,0.002,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Low income,False,True,786380.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.010053430708071904,0.0,0.007300057156318628,0.007300057156318628,7.300057156318627,3.6500285781593136,3.6500285781593136,6.7973856209150325,0.5026715354035951,0.0
Rwanda,0.003,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Low income,False,True,24670.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.0003153922220404052,0.0,0.006813155232017053,0.006813155232017053,6.813155232017053,3.4065776160085264,3.4065776160085264,6.7973856209150325,0.015769611102020263,0.0
Seychelles,0.002,Africa,Sub-Saharan Africa,Eastern Africa,False,True,True,High income,False,True,460.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,5.880844026695841e-06,0.02564102564102564,0.007566910432347137,0.007566910432347137,7.566910432347137,3.7834552161735684,3.7834552161735684,6.7973856209150325,0.00029404220133479205,0.7692307692307692
Somalia,0.002,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Low income,False,True,627340.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.008020192808059497,0.0,0.007198395261318007,0.007198395261318007,7.198395261318007,3.5991976306590034,3.5991976306590034,6.7973856209150325,0.4010096404029749,0.0
South Sudan,0.005,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Low income,False,True,631930.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.008078873403891093,0.0,0.007201329291109587,0.007201329291109587,7.201329291109587,3.6006646455547937,3.6006646455547937,6.7973856209150325,0.4039436701945547,0.0
Uganda,0.01,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Low income,False,True,200520.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.002563536617897935,0.0,0.0069255624518099294,0.0069255624518099294,6.925562451809929,3.4627812259049646,3.4627812259049646,6.7973856209150325,0.12817683089489676,0.0
Zambia,0.006,Africa,Sub-Saharan Africa,Eastern Africa,True,False,True,Lower middle income,False,True,743390.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.009503827480446567,0.0,0.007272576994937361,0.007272576994937361,7.272576994937361,3.6362884974686804,3.6362884974686804,6.7973856209150325,0.47519137402232836,0.0
Zimbabwe,0.007,Africa,Sub-Saharan Africa,Eastern Africa,False,False,True,Lower middle income,False,True,386850.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.004945661982015839,0.0,0.007044668720015824,0.007044668720015824,7.0446687200158244,3.5223343600079122,3.5223343600079122,6.7973856209150325,0.24728309910079196,0.0
Angola,0.01,Africa,Sub-Saharan Africa,Middle Africa,True,False,True,Lower middle income,False,True,1246700.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.01593836575669936,0.0,0.007594303908750001,0.007594303908750001,7.594303908750001,3.7971519543750003,3.7971519543750003,6.7973856209150325,0.796918287834968,0.0
Cameroon,0.014,Africa,Sub-Saharan Africa,Middle Africa,False,False,True,Lower middle income,False,True,472710.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.006043334304042154,0.0,0.006053800702130213,0.006053800702130213,6.053800702130213,3.0269003510651067,3.0269003510651067,5.7516339869281055,0.30216671520210775,0.0
Central African Republic,0.001,Africa,Sub-Saharan Africa,Middle Africa,True,False,True,Low income,False,True,622980.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,0.00796445263424125,0.0,0.008241359886614024,0.008241359886614024,8.241359886614024,4.120679943307012,4.120679943307012,7.8431372549019605,0.3982226317120625,0.0
Chad,0.005,Africa,Sub-Saharan Africa,Middle Africa,True,False,True,Low income,False,True,1259200.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.01609817130090305,0.0,0.0076022941859601855,0.0076022941859601855,7.602294185960186,3.801147092980093,3.801147092980093,6.7973856209150325,0.8049085650451525,0.0
Congo,0.005,Africa,Sub-Saharan Africa,Middle Africa,False,False,True,Lower middle income,False,True,341500.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.004365887467644847,0.0,0.007015679994297275,0.007015679994297275,7.015679994297275,3.5078399971486376,3.5078399971486376,6.7973856209150325,0.21829437338224236,0.0
Democratic Republic of the Congo,0.01,Africa,Sub-Saharan Africa,Middle Africa,True,False,True,Low income,False,True,2267050.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.028982972718958274,0.0,0.008246534256862946,0.008246534256862946,8.246534256862946,4.123267128431473,4.123267128431473,6.7973856209150325,1.4491486359479138,0.0
Equatorial Guinea,0.008,Africa,Sub-Saharan Africa,Middle Africa,False,False,True,Upper middle income,False,True,28050.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.00035860364119308336,0.0,0.0068153158029746865,0.0068153158029746865,6.815315802974686,3.407657901487343,3.407657901487343,6.7973856209150325,0.01793018205965417,0.0
Gabon,0.011,Africa,Sub-Saharan Africa,Middle Africa,False,False,True,Upper middle income,False,True,257670.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.0032941675659972115,0.0,0.005916342365227966,0.005916342365227966,5.916342365227965,2.9581711826139827,2.9581711826139827,5.7516339869281055,0.16470837829986057,0.0
Botswana,0.013,Africa,Sub-Saharan Africa,Southern Africa,False,False,True,Upper middle income,False,True,566730.0,True,Band 3: 0.01% - 0.1%,1.1,True,0.006251776072747941,0.007245327685324639,0.0,0.006113900371194337,0.006113900371194337,6.113900371194337,3.0569501855971684,3.0569501855971684,5.7516339869281055,0.362266384266232,0.0
Eswatini,0.002,Africa,Sub-Saharan Africa,Southern Africa,False,False,True,Lower middle income,False,True,17200.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.00021989242882427927,0.0,0.006808380242356246,0.006808380242356246,6.808380242356247,3.4041901211781234,3.4041901211781234,6.7973856209150325,0.010994621441213964,0.0
Lesotho,0.001,Africa,Sub-Saharan Africa,Southern Africa,True,False,True,Lower middle income,False,True,30360.0,True,Band 1: <= 0.001%,1.5,True,0.008525149190110827,0.00038813570576192553,0.0,0.007862544040190057,0.007862544040190057,7.862544040190057,3.9312720200950286,3.9312720200950286,7.8431372549019605,0.01940678528809628,0.0
Namibia,0.007,Africa,Sub-Saharan Africa,Southern Africa,False,False,True,Lower middle income,False,True,823290.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.010525304518996562,0.0,0.0073236508468648605,0.0073236508468648605,7.323650846864861,3.6618254234324303,3.6618254234324303,6.7973856209150325,0.5262652259498282,0.0
South Africa,0.251,Africa,Sub-Saharan Africa,Southern Africa,False,False,True,Upper middle income,False,True,1213090.0,True,Band 4: 0.1% - 1.0%,0.95,True,0.005399261153736857,0.015508680609444473,0.0,0.0057427542919101324,0.0057427542919101324,5.742754291910132,2.871377145955066,2.871377145955066,4.967320261437909,0.7754340304722237,0.0
Benin,0.005,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Lower middle income,False,True,112760.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.0014415738531526588,0.0,0.006869464313572666,0.006869464313572666,6.869464313572665,3.4347321567863327,3.4347321567863327,6.7973856209150325,0.07207869265763295,0.0
Burkina Faso,0.005,Africa,Sub-Saharan Africa,Western Africa,True,False,True,Low income,False,True,273600.0,True,Band 2: 0.001% - 0.01%,1.3,True,0.007388462631429384,0.003497823751530396,0.0,0.006972276808491553,0.006972276808491553,6.972276808491552,3.486138404245776,3.486138404245776,6.7973856209150325,0.17489118757651978,0.0
