party_name,un_share,iusaf_share
Vanuatu,0.001,2.3242936367762224
Timor-Leste,0.001,2.3242936367762224
Kiribati,0.001,2.3242936367762224
Tonga,0.001,2.3242936367762224
Guinea-Bissau,0.001,2.3242936367762224
Sao Tome and Principe,0.001,2.3242936367762224
Samoa,0.001,2.3242936367762224
Tuvalu,0.001,2.3242936367762224
Cabo Verde,0.001,2.3242936367762224
Saint Vincent and the Grenadines,0.001,2.3242936367762224
Gambia,0.001,2.3242936367762224
Nauru,0.001,2.3242936367762224
Lesotho,0.001,2.3242936367762224
Central African Republic,0.001,2.3242936367762224
Palau,0.001,2.3242936367762224
Micronesia (Federated States of),0.001,2.3242936367762224
Belize,0.001,2.3242936367762224
Solomon Islands,0.001,2.3242936367762224
Liberia,0.001,2.3242936367762224
Sierra Leone,0.001,2.3242936367762224
Dominica,0.001,2.3242936367762224
Saint Kitts and Nevis,0.001,2.3242936367762224
Marshall Islands,0.001,2.3242936367762224
Eritrea,0.001,2.3242936367762224
Burundi,0.001,2.3242936367762224
Comoros,0.001,2.3242936367762224
Bhutan,0.001,2.3242936367762224
Grenada,0.001,2.3242936367762224
Somalia,0.002,1.1621468183881112
Mozambique,0.002,1.1621468183881112
Djibouti,0.002,1.1621468183881112
Eswatini,0.002,1.1621468183881112
Seychelles,0.002,1.1621468183881112
Saint Lucia,0.002,1.1621468183881112
Togo,0.002,1.1621468183881112
Suriname,0.002,1.1621468183881112
Antigua and Barbuda,0.002,1.1621468183881112
Mauritania,0.003,0.7747645455920743
Yemen,0.003,0.7747645455920743
Tajikistan,0.003,0.7747645455920743
Rwanda,0.003,0.7747645455920743
Malawi,0.003,0.7747645455920743
Kyrgyzstan,0.003,0.7747645455920743
Fiji,0.003,0.7747645455920743
Niger,0.004,0.5810734091940556
Maldives,0.004,0.5810734091940556
Mongolia,0.004,0.5810734091940556
Montenegro,0.004,0.5810734091940556
Guinea,0.004,0.5810734091940556
Madagascar,0.004,0.5810734091940556
Nicaragua,0.004,0.5810734091940556
Mali,0.005,0.4648587273552445
Chad,0.005,0.4648587273552445
Congo,0.005,0.4648587273552445
Afghanistan,0.005,0.4648587273552445
South Sudan,0.005,0.4648587273552445
Benin,0.005,0.4648587273552445
Burkina Faso,0.005,0.4648587273552445
Democratic People's Republic of Korea,0.005,0.4648587273552445
Lao People's Democratic Republic,0.006,0.38738227279603715
Zambia,0.006,0.38738227279603715
Republic of Moldova,0.006,0.38738227279603715
Syrian Arab Republic,0.006,0.38738227279603715
Haiti,0.006,0.38738227279603715
Senegal,0.007,0.33204194811088894
Barbados,0.007,0.33204194811088894
Zimbabwe,0.007,0.33204194811088894
Armenia,0.007,0.33204194811088894
Jamaica,0.007,0.33204194811088894
Namibia,0.007,0.33204194811088894
Equatorial Guinea,0.008,0.2905367045970278
North Macedonia,0.008,0.2905367045970278
Sudan,0.008,0.2905367045970278
Cambodia,0.008,0.2905367045970278
Georgia,0.009,0.25825484853069147
Papua New Guinea,0.009,0.25825484853069147
Uganda,0.01,0.23242936367762226
United Republic of Tanzania,0.01,0.23242936367762226
Albania,0.01,0.23242936367762226
Democratic Republic of the Congo,0.01,0.23242936367762226
Bangladesh,0.01,0.23242936367762226
Myanmar,0.01,0.23242936367762226
Nepal,0.01,0.23242936367762226
Honduras,0.01,0.23242936367762226
Ethiopia,0.01,0.23242936367762226
Angola,0.01,0.23242936367762226
Mauritius,0.01,0.23242936367762226
Guyana,0.011,0.21129942152511122
Gabon,0.011,0.21129942152511122
Botswana,0.013,0.17879181821355564
El Salvador,0.013,0.17879181821355564
Bosnia and Herzegovina,0.014,0.16602097405544447
Cameroon,0.014,0.16602097405544447
Bahamas,0.015,0.15495290911841486
Bolivia (Plurinational State of),0.018,0.12912742426534574
Tunisia,0.018,0.12912742426534574
Jordan,0.021,0.11068064937029631
Lebanon,0.022,0.10564971076255561
Paraguay,0.023,0.10105624507722709
Uzbekistan,0.024,0.09684556819900929
Côte d’Ivoire,0.024,0.09684556819900929
Ghana,0.025,0.09297174547104892
Trinidad and Tobago,0.033,0.07043314050837039
Azerbaijan,0.034,0.06836157755224184
Turkmenistan,0.036,0.06456371213267287
Kenya,0.037,0.06281874693989792
Sri Lanka,0.038,0.06116562202042693
Serbia,0.04,0.058107340919405566
Libya,0.04,0.058107340919405566
Belarus,0.043,0.054053340390144713
Guatemala,0.046,0.050528122538613544
Morocco,0.059,0.03939480740298683
Ecuador,0.065,0.03575836364271112
Dominican Republic,0.069,0.033685415025742356
Venezuela (Bolivarian Republic of),0.069,0.033685415025742356
Ukraine,0.074,0.03140937346994896
Algeria,0.087,0.026716018813519808
Cuba,0.122,0.01905158718669035
Pakistan,0.123,0.01889669623395303
Kazakhstan,0.131,0.017742699517375747
Iraq,0.131,0.017742699517375747
Peru,0.145,0.01602961128811188
Nigeria,0.15,0.015495290911841486
Viet Nam,0.159,0.01461819897343536
Egypt,0.182,0.012770844158111114
Colombia,0.197,0.011798444856732095
Philippines,0.198,0.011738856751395065
South Africa,0.251,0.00926013401106065
Malaysia,0.326,0.007129735082135652
Thailand,0.341,0.006816110371777779
Iran (Islamic Republic of),0.386,0.006021486105637883
Singapore,0.479,0.00485238755068105
Argentina,0.49,0.004743456401584129
Indonesia,0.579,0.004014324070425256
Türkiye,0.685,0.0033931293967536104
India,1.106,0.0021015313171575253
Mexico,1.137,0.002044233629530539
Brazil,1.411,0.001647266928969683
State of Palestine,0.0,0.0
Cook Islands,0.0,0.0
Niue,0.0,0.0
