Rank,party,total_allocation,state_component,iplc_component,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,8.793655964502165,4.396827982251082,4.396827982251082,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,8.793606105172373,4.396803052586186,4.396803052586186,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,8.791619402646832,4.395809701323416,4.395809701323416,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,8.788574148196487,4.394287074098243,4.394287074098243,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,8.787546278936171,4.3937731394680855,4.3937731394680855,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,8.784416647158483,4.392208323579242,4.392208323579242,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,8.783937230525874,4.391968615262937,4.391968615262937,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,8.783584763417576,4.391792381708788,4.391792381708788,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,8.783239199908792,4.391619599954396,4.391619599954396,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,8.783181669912878,4.391590834956439,4.391590834956439,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,8.783158657914512,4.391579328957256,4.391579328957256,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,8.783147151915328,4.391573575957664,4.391573575957664,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),8.783139481249208,4.391569740624604,4.391569740624604,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,8.783047433255746,4.391523716627873,4.391523716627873,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,8.78302058592432,4.39151029296216,4.39151029296216,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,8.783001409259017,4.391500704629508,4.391500704629508,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Niue,8.782970726594527,4.391485363297264,4.391485363297264,High income,False,True,False,Band 1: <= 0.001%
