Rank,party,total_allocation,state_component,iplc_component,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,8.834484217691516,4.417242108845758,4.417242108845758,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,8.834442668250022,4.417221334125011,4.417221334125011,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,8.832787082812072,4.416393541406036,4.416393541406036,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,8.830249370770117,4.4151246853850585,4.4151246853850585,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,8.829392813053184,4.414696406526592,4.414696406526592,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,8.82678478657178,4.41339239328589,4.41339239328589,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,8.826385272711274,4.413192636355637,4.413192636355637,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,8.826091550121026,4.413045775060513,4.413045775060513,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,8.82580358053037,4.412901790265185,4.412901790265185,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,8.82575563886711,4.412877819433555,4.412877819433555,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,8.825736462201807,4.412868231100903,4.412868231100903,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,8.825726873869153,4.412863436934576,4.412863436934576,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),8.825720481647384,4.412860240823692,4.412860240823692,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,8.825643774986167,4.412821887493084,4.412821887493084,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,8.825621402209979,4.4128107011049895,4.4128107011049895,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,8.825605421655558,4.412802710827779,4.412802710827779,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Niue,8.825579852768486,4.412789926384243,4.412789926384243,High income,False,True,False,Band 1: <= 0.001%
18,Saint Kitts and Nevis,8.825579852768486,4.412789926384243,4.412789926384243,High income,False,True,False,Band 1: <= 0.001%
19,Cook Islands,8.825572182102363,4.412786091051181,4.412786091051181,High income,False,True,False,Band 1: <= 0.001%
20,Marshall Islands,8.825554283881413,4.4127771419407065,4.4127771419407065,Upper middle income,False,True,False,Band 1: <= 0.001%
21,Tuvalu,8.825506342218151,4.412753171109076,4.412753171109076,Upper middle income,True,True,False,Band 1: <= 0.001%
22,Nauru,8.825503146107268,4.412751573053634,4.412751573053634,High income,False,True,False,Band 1: <= 0.001%
23,Central African Republic,8.25537730051076,4.12768865025538,4.12768865025538,Low income,True,False,False,Band 1: <= 0.001%
24,Eritrea,8.094995881047979,4.047497940523989,4.047497940523989,Low income,True,False,False,Band 1: <= 0.001%
25,Liberia,8.08705092469013,4.043525462345065,4.043525462345065,Low income,True,False,False,Band 1: <= 0.001%
26,Sierra Leone,8.079335513015975,4.0396677565079875,4.0396677565079875,Low income,True,False,False,Band 1: <= 0.001%
27,Bhutan,8.068455951566587,4.034227975783294,4.034227975783294,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Lesotho,8.065969377298778,4.032984688649389,4.032984688649389,Lower middle income,True,False,False,Band 1: <= 0.001%
29,Burundi,8.064473597405032,4.032236798702516,4.032236798702516,Low income,True,False,False,Band 1: <= 0.001%
30,Gambia,8.059500448869413,4.029750224434706,4.029750224434706,Low income,True,False,False,Band 1: <= 0.001%
31,State of Palestine,8.058190043406944,4.029095021703472,4.029095021703472,Lower middle income,False,False,False,Band 1: <= 0.001%
32,Papua New Guinea,7.896067033427703,3.9480335167138514,3.9480335167138514,Lower middle income,False,True,False,Band 2: 0.001% - 0.01%
33,Suriname,7.802627967861304,3.901313983930652,3.901313983930652,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
34,Haiti,7.760136437528044,3.880068218764022,3.880068218764022,Lower middle income,True,True,False,Band 2: 0.001% - 0.01%
