Rank,party,total_allocation,state_component,iplc_component,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
1,Guinea-Bissau,8.916140724070216,4.458070362035108,4.458070362035108,Low income,True,True,False,Band 1: <= 0.001%
2,Solomon Islands,8.916115794405322,4.458057897202661,4.458057897202661,Lower middle income,True,True,False,Band 1: <= 0.001%
3,Belize,8.915122443142552,4.457561221571276,4.457561221571276,Upper middle income,False,True,False,Band 1: <= 0.001%
4,Timor-Leste,8.913599815917378,4.456799907958689,4.456799907958689,Lower middle income,True,True,False,Band 1: <= 0.001%
5,Vanuatu,8.91308588128722,4.45654294064361,4.45654294064361,Lower middle income,False,True,False,Band 1: <= 0.001%
6,Cabo Verde,8.911521065398377,4.4557605326991885,4.4557605326991885,Upper middle income,False,True,False,Band 1: <= 0.001%
7,Samoa,8.911281357082071,4.455640678541036,4.455640678541036,Upper middle income,False,True,False,Band 1: <= 0.001%
8,Comoros,8.911105123527923,4.4555525617639615,4.4555525617639615,Lower middle income,True,True,False,Band 1: <= 0.001%
9,Sao Tome and Principe,8.91093234177353,4.455466170886765,4.455466170886765,Lower middle income,False,True,False,Band 1: <= 0.001%
10,Kiribati,8.910903576775572,4.455451788387786,4.455451788387786,Lower middle income,True,True,False,Band 1: <= 0.001%
11,Dominica,8.910892070776391,4.455446035388196,4.455446035388196,Upper middle income,False,True,False,Band 1: <= 0.001%
12,Tonga,8.9108863177768,4.4554431588884,4.4554431588884,Upper middle income,False,True,False,Band 1: <= 0.001%
13,Micronesia (Federated States of),8.91088248244374,4.45544124122187,4.45544124122187,Lower middle income,False,True,False,Band 1: <= 0.001%
14,Palau,8.910836458447008,4.455418229223504,4.455418229223504,High income,False,True,False,Band 1: <= 0.001%
15,Saint Vincent and the Grenadines,8.910823034781293,4.455411517390647,4.455411517390647,Upper middle income,False,True,False,Band 1: <= 0.001%
16,Grenada,8.910813446448643,4.455406723224321,4.455406723224321,Upper middle income,False,True,False,Band 1: <= 0.001%
17,Niue,8.910798105116399,4.4553990525581995,4.4553990525581995,High income,False,True,False,Band 1: <= 0.001%
18,Saint Kitts and Nevis,8.910798105116399,4.4553990525581995,4.4553990525581995,High income,False,True,False,Band 1: <= 0.001%
19,Cook Islands,8.910793502716725,4.4553967513583626,4.4553967513583626,High income,False,True,False,Band 1: <= 0.001%
20,Marshall Islands,8.910782763784157,4.4553913818920785,4.4553913818920785,Upper middle income,False,True,False,Band 1: <= 0.001%
21,Tuvalu,8.910753998786198,4.455376999393099,4.455376999393099,Upper middle income,True,True,False,Band 1: <= 0.001%
22,Nauru,8.91075208111967,4.455376040559835,4.455376040559835,High income,False,True,False,Band 1: <= 0.001%
23,Central African Republic,8.260984266069457,4.130492133034728,4.130492133034728,Low income,True,False,False,Band 1: <= 0.001%
24,Eritrea,8.164755414391788,4.082377707195894,4.082377707195894,Low income,True,False,False,Band 1: <= 0.001%
25,Liberia,8.159988440577079,4.0799942202885395,4.0799942202885395,Low income,True,False,False,Band 1: <= 0.001%
26,Sierra Leone,8.155359193572586,4.077679596786293,4.077679596786293,Low income,True,False,False,Band 1: <= 0.001%
27,Bhutan,8.148831456702954,4.074415728351477,4.074415728351477,Lower middle income,False,False,False,Band 1: <= 0.001%
28,Lesotho,8.147339512142269,4.073669756071134,4.073669756071134,Lower middle income,True,False,False,Band 1: <= 0.001%
29,Burundi,8.146442044206019,4.073221022103009,4.073221022103009,Low income,True,False,False,Band 1: <= 0.001%
30,Gambia,8.14345815508465,4.071729077542325,4.071729077542325,Low income,True,False,False,Band 1: <= 0.001%
31,State of Palestine,8.142671911807167,4.071335955903583,4.071335955903583,Lower middle income,False,False,False,Band 1: <= 0.001%
32,Papua New Guinea,7.912056028743531,3.9560280143717654,3.9560280143717654,Lower middle income,False,True,False,Band 2: 0.001% - 0.01%
33,Suriname,7.85599258940369,3.927996294701845,3.927996294701845,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
34,Haiti,7.830497671203734,3.915248835601867,3.915248835601867,Lower middle income,True,True,False,Band 2: 0.001% - 0.01%
35,Fiji,7.828716158996952,3.914358079498476,3.914358079498476,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
36,Jamaica,7.8272894150983,3.91364470754915,3.91364470754915,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
37,Mauritius,7.8255955402519595,3.9127977701259797,3.9127977701259797,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
38,Saint Lucia,7.825329559904186,3.912664779952093,3.912664779952093,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
39,Seychelles,7.82530079490623,3.912650397453115,3.912650397453115,High income,False,True,False,Band 2: 0.001% - 0.01%
40,Antigua and Barbuda,7.82529695957317,3.912648479786585,3.912648479786585,High income,False,True,False,Band 2: 0.001% - 0.01%
41,Barbados,7.825295041906639,3.9126475209533194,3.9126475209533194,High income,False,True,False,Band 2: 0.001% - 0.01%
42,Maldives,7.825269728708436,3.912634864354218,3.912634864354218,Upper middle income,False,True,False,Band 2: 0.001% - 0.01%
43,Democratic Republic of the Congo,7.490726403799435,3.7453632018997176,3.7453632018997176,Low income,True,False,False,Band 2: 0.001% - 0.01%
