scenario_id,fund_size_usd,tsac_beta,sosac_gamma,check_conservation_shares,sum_final_share,check_conservation_money,sum_total_allocation_usd,check_non_negativity,min_allocation_usd,check_component_consistency,max_component_abs_diff_usd,check_iplc_split,max_iplc_abs_diff_usd,check_band_monotonicity,band_monotonicity_detail,check_floor_not_binding_unexpectedly,floor_binding_count,check_ceiling_not_binding_unexpectedly,ceiling_binding_count,check_sids_sosac_allocation,sids_sosac_component_sum_usd,n_eligible_parties,n_eligible_sids,all_checks_pass
calib_flat_beta-0.0_gamma-0.0,1000000000.0,0.0,0.0,PASS,1.0,PASS,999999999.9999998,PASS,2273373.1173628876,PASS,0.0,PASS,0.0,PASS,PASS,PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_flat_beta-0.0_gamma-0.03,1000000000.0,0.0,0.03,PASS,1.0,PASS,1000000000.0000002,PASS,2205171.923842001,PASS,8.881784197001252e-10,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_flat_beta-0.0_gamma-0.1,1000000000.0,0.0,0.1,PASS,1.0,PASS,999999999.9999999,PASS,2046035.8056265982,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_flat_beta-0.025_gamma-0.0,1000000000.0,0.025,0.0,PASS,0.9999999999999999,PASS,999999999.9999998,PASS,2392595.127456984,PASS,2.6922908347160046e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_flat_beta-0.025_gamma-0.03,1000000000.0,0.025,0.03,PASS,1.0,PASS,1000000000.0000001,PASS,2324393.933936098,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_flat_beta-0.025_gamma-0.1,1000000000.0,0.025,0.1,PASS,1.0,PASS,999999999.9999998,PASS,2165257.815720695,PASS,3.552713678800501e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_flat_beta-0.05_gamma-0.0,1000000000.0,0.05,0.0,PASS,1.0,PASS,1000000000.0,PASS,2511817.1375510814,PASS,8.326672684688674e-10,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_flat_beta-0.05_gamma-0.03,1000000000.0,0.05,0.03,PASS,1.0,PASS,1000000000.0,PASS,2443615.9440301945,PASS,9.43689570931383e-10,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_flat_beta-0.05_gamma-0.1,1000000000.0,0.05,0.1,PASS,0.9999999999999998,PASS,999999999.9999999,PASS,2284479.8258147924,PASS,1.8318679906315083e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_flat_beta-0.1_gamma-0.0,1000000000.0,0.1,0.0,PASS,1.0,PASS,999999999.9999998,PASS,2750261.157739274,PASS,1.887379141862766e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_flat_beta-0.1_gamma-0.03,1000000000.0,0.1,0.03,PASS,1.0,PASS,1000000000.0000002,PASS,2682059.964218389,PASS,2.55351295663786e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_flat_beta-0.1_gamma-0.1,1000000000.0,0.1,0.1,PASS,1.0,PASS,1000000000.0,PASS,2522923.8460029857,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_flat_beta-0.15_gamma-0.0,1000000000.0,0.15,0.0,PASS,1.0,PASS,1000000000.0,PASS,2988705.1779274684,PASS,8.881784197001252e-10,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_flat_beta-0.15_gamma-0.03,1000000000.0,0.15,0.03,PASS,1.0000000000000002,PASS,1000000000.0000002,PASS,2920503.9844065825,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_flat_beta-0.15_gamma-0.1,1000000000.0,0.15,0.1,PASS,1.0,PASS,1000000000.0,PASS,2761367.86619118,PASS,8.881784197001252e-10,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
