scenario_id,fund_size_usd,tsac_beta,sosac_gamma,check_conservation_shares,sum_final_share,check_conservation_money,sum_total_allocation_usd,check_non_negativity,min_allocation_usd,check_component_consistency,max_component_abs_diff_usd,check_iplc_split,max_iplc_abs_diff_usd,check_band_monotonicity,band_monotonicity_detail,check_floor_not_binding_unexpectedly,floor_binding_count,check_ceiling_not_binding_unexpectedly,ceiling_binding_count,check_sids_sosac_allocation,sids_sosac_component_sum_usd,n_eligible_parties,n_eligible_sids,all_checks_pass
calib_geometric_base_1.5_beta-0.0_gamma-0.0,1000000000.0,0.0,0.0,PASS,1.0,PASS,999999999.9999998,PASS,2273373.1173628876,PASS,0.0,PASS,0.0,PASS,PASS,PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_1.5_beta-0.0_gamma-0.03,1000000000.0,0.0,0.03,PASS,1.0,PASS,1000000000.0000002,PASS,2205171.923842001,PASS,8.881784197001252e-10,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_1.5_beta-0.0_gamma-0.1,1000000000.0,0.0,0.1,PASS,1.0,PASS,999999999.9999999,PASS,2046035.8056265982,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_1.5_beta-0.025_gamma-0.0,1000000000.0,0.025,0.0,PASS,1.0,PASS,1000000000.0000001,PASS,2517922.9239726462,PASS,1.1102230246251565e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_1.5_beta-0.025_gamma-0.03,1000000000.0,0.025,0.03,PASS,1.0,PASS,1000000000.0,PASS,2449721.7304517594,PASS,1.1102230246251565e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_1.5_beta-0.025_gamma-0.1,1000000000.0,0.025,0.1,PASS,1.0,PASS,1000000000.0,PASS,2290585.6122363573,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_1.5_beta-0.05_gamma-0.0,1000000000.0,0.05,0.0,PASS,1.0000000000000002,PASS,1000000000.0000002,PASS,2762472.7305824053,PASS,3.1363800445660672e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_1.5_beta-0.05_gamma-0.03,1000000000.0,0.05,0.03,PASS,1.0,PASS,1000000000.0,PASS,2694271.5370615185,PASS,1.5543122344752192e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_1.5_beta-0.05_gamma-0.1,1000000000.0,0.05,0.1,PASS,1.0,PASS,1000000000.0,PASS,2535135.418846117,PASS,1.3322676295501878e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_1.5_beta-0.1_gamma-0.0,1000000000.0,0.1,0.0,PASS,1.0,PASS,1000000000.0,PASS,3251572.3438019226,PASS,1.3322676295501878e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_1.5_beta-0.1_gamma-0.03,1000000000.0,0.1,0.03,PASS,1.0,PASS,999999999.9999998,PASS,3183371.1502810353,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_1.5_beta-0.1_gamma-0.1,1000000000.0,0.1,0.1,PASS,1.0,PASS,1000000000.0,PASS,3024235.032065634,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_1.5_beta-0.15_gamma-0.0,1000000000.0,0.15,0.0,PASS,1.0,PASS,1000000000.0000002,PASS,3740671.95702144,PASS,2.3314683517128287e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_1.5_beta-0.15_gamma-0.03,1000000000.0,0.15,0.03,PASS,1.0,PASS,1000000000.0,PASS,3672470.763500553,PASS,1.6653345369377348e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_1.5_beta-0.15_gamma-0.1,1000000000.0,0.15,0.1,PASS,1.0,PASS,1000000000.0,PASS,3513334.645285151,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
