scenario_id,fund_size_usd,tsac_beta,sosac_gamma,check_conservation_shares,sum_final_share,check_conservation_money,sum_total_allocation_usd,check_non_negativity,min_allocation_usd,check_component_consistency,max_component_abs_diff_usd,check_iplc_split,max_iplc_abs_diff_usd,check_band_monotonicity,band_monotonicity_detail,check_floor_not_binding_unexpectedly,floor_binding_count,check_ceiling_not_binding_unexpectedly,ceiling_binding_count,check_sids_sosac_allocation,sids_sosac_component_sum_usd,n_eligible_parties,n_eligible_sids,all_checks_pass
calib_geometric_base_3_beta-0.0_gamma-0.0,1000000000.0,0.0,0.0,PASS,1.0,PASS,999999999.9999998,PASS,2273373.1173628876,PASS,0.0,PASS,0.0,PASS,PASS,PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_3_beta-0.0_gamma-0.03,1000000000.0,0.0,0.03,PASS,1.0,PASS,1000000000.0000002,PASS,2205171.923842001,PASS,8.881784197001252e-10,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_3_beta-0.0_gamma-0.1,1000000000.0,0.0,0.1,PASS,1.0,PASS,999999999.9999999,PASS,2046035.8056265982,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_3_beta-0.025_gamma-0.0,1000000000.0,0.025,0.0,PASS,1.0,PASS,1000000000.0000002,PASS,2751969.77832358,PASS,2.248201624865942e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_3_beta-0.025_gamma-0.03,1000000000.0,0.025,0.03,PASS,1.0,PASS,999999999.9999999,PASS,2683768.584802693,PASS,1.3322676295501878e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_3_beta-0.025_gamma-0.1,1000000000.0,0.025,0.1,PASS,1.0,PASS,1000000000.0000001,PASS,2524632.466587291,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_3_beta-0.05_gamma-0.0,1000000000.0,0.05,0.0,PASS,1.0,PASS,1000000000.0000002,PASS,3230566.4392842734,PASS,3.3306690738754696e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_3_beta-0.05_gamma-0.03,1000000000.0,0.05,0.03,PASS,1.0,PASS,1000000000.0,PASS,3162365.2457633857,PASS,1.7208456881689926e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_3_beta-0.05_gamma-0.1,1000000000.0,0.05,0.1,PASS,1.0,PASS,1000000000.0,PASS,3003229.127547984,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_3_beta-0.1_gamma-0.0,1000000000.0,0.1,0.0,PASS,1.0,PASS,1000000000.0,PASS,4187759.7612056583,PASS,1.3322676295501878e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_3_beta-0.1_gamma-0.03,1000000000.0,0.1,0.03,PASS,1.0,PASS,1000000000.0000002,PASS,4119558.5676847715,PASS,1.887379141862766e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_3_beta-0.1_gamma-0.1,1000000000.0,0.1,0.1,PASS,1.0,PASS,999999999.9999999,PASS,3960422.449469369,PASS,2.6922908347160046e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_geometric_base_3_beta-0.15_gamma-0.0,1000000000.0,0.15,0.0,PASS,1.0,PASS,1000000000.0,PASS,4629033.535409274,PASS,1.1102230246251565e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_geometric_base_3_beta-0.15_gamma-0.03,1000000000.0,0.15,0.03,PASS,1.0,PASS,1000000000.0,PASS,5076751.889606156,PASS,1.1102230246251565e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_geometric_base_3_beta-0.15_gamma-0.1,1000000000.0,0.15,0.1,PASS,1.0,PASS,1000000000.0,PASS,4917615.771390754,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
