scenario_id,fund_size_usd,tsac_beta,sosac_gamma,check_conservation_shares,sum_final_share,check_conservation_money,sum_total_allocation_usd,check_non_negativity,min_allocation_usd,check_component_consistency,max_component_abs_diff_usd,check_iplc_split,max_iplc_abs_diff_usd,check_band_monotonicity,band_monotonicity_detail,check_floor_not_binding_unexpectedly,floor_binding_count,check_ceiling_not_binding_unexpectedly,ceiling_binding_count,check_sids_sosac_allocation,sids_sosac_component_sum_usd,n_eligible_parties,n_eligible_sids,all_checks_pass
calib_linear_progression_beta-0.0_gamma-0.0,1000000000.0,0.0,0.0,PASS,1.0,PASS,999999999.9999998,PASS,2273373.1173628876,PASS,0.0,PASS,0.0,PASS,PASS,PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_linear_progression_beta-0.0_gamma-0.03,1000000000.0,0.0,0.03,PASS,1.0,PASS,1000000000.0000002,PASS,2205171.923842001,PASS,8.881784197001252e-10,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_linear_progression_beta-0.0_gamma-0.1,1000000000.0,0.0,0.1,PASS,1.0,PASS,999999999.9999999,PASS,2046035.8056265982,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_linear_progression_beta-0.025_gamma-0.0,1000000000.0,0.025,0.0,PASS,1.0,PASS,1000000000.0000002,PASS,2474803.252238733,PASS,3.316791286067655e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_linear_progression_beta-0.025_gamma-0.03,1000000000.0,0.025,0.03,PASS,1.0,PASS,1000000000.0000001,PASS,2406602.0587178464,PASS,2.609024107869118e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_linear_progression_beta-0.025_gamma-0.1,1000000000.0,0.025,0.1,PASS,1.0,PASS,1000000000.0000001,PASS,2247465.940502444,PASS,1.3322676295501878e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_linear_progression_beta-0.05_gamma-0.0,1000000000.0,0.05,0.0,PASS,1.0,PASS,1000000000.0000001,PASS,2676233.387114578,PASS,1.304512053934559e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_linear_progression_beta-0.05_gamma-0.03,1000000000.0,0.05,0.03,PASS,1.0,PASS,1000000000.0,PASS,2608032.1935936916,PASS,3.1086244689504383e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_linear_progression_beta-0.05_gamma-0.1,1000000000.0,0.05,0.1,PASS,1.0,PASS,1000000000.0,PASS,2448896.0753782894,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_linear_progression_beta-0.1_gamma-0.0,1000000000.0,0.1,0.0,PASS,1.0,PASS,1000000000.0,PASS,3079093.6568662683,PASS,1.1102230246251565e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_linear_progression_beta-0.1_gamma-0.03,1000000000.0,0.1,0.03,PASS,1.0,PASS,1000000000.0000001,PASS,3010892.463345382,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_linear_progression_beta-0.1_gamma-0.1,1000000000.0,0.1,0.1,PASS,0.9999999999999998,PASS,999999999.9999996,PASS,2851756.3451299784,PASS,6.217248937900877e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
calib_linear_progression_beta-0.15_gamma-0.0,1000000000.0,0.15,0.0,PASS,1.0,PASS,1000000000.0,PASS,3481953.926617959,PASS,1.6653345369377348e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
calib_linear_progression_beta-0.15_gamma-0.03,1000000000.0,0.15,0.03,PASS,1.0,PASS,1000000000.0,PASS,3413752.7330970718,PASS,1.5543122344752192e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
calib_linear_progression_beta-0.15_gamma-0.1,1000000000.0,0.15,0.1,PASS,1.0,PASS,999999999.9999999,PASS,3254616.614881669,PASS,3.1086244689504383e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
