scenario_id,fund_size_usd,tsac_beta,sosac_gamma,check_conservation_shares,sum_final_share,check_conservation_money,sum_total_allocation_usd,check_non_negativity,min_allocation_usd,check_component_consistency,max_component_abs_diff_usd,check_iplc_split,max_iplc_abs_diff_usd,check_band_monotonicity,band_monotonicity_detail,check_floor_not_binding_unexpectedly,floor_binding_count,check_ceiling_not_binding_unexpectedly,ceiling_binding_count,check_sids_sosac_allocation,sids_sosac_component_sum_usd,n_eligible_parties,n_eligible_sids,all_checks_pass
tsac_sosac_coarse_tsac_beta-0.0_sosac_gamma-0.0,1000000000.0,0.0,0.0,PASS,1.0,PASS,999999999.9999998,PASS,2273373.1173628876,PASS,0.0,PASS,0.0,PASS,PASS,PASS,0,PASS,0,PASS,0.0,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.0_sosac_gamma-0.03,1000000000.0,0.0,0.03,PASS,1.0,PASS,1000000000.0000002,PASS,2205171.923842001,PASS,8.881784197001252e-10,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.0_sosac_gamma-0.1,1000000000.0,0.0,0.1,PASS,1.0,PASS,999999999.9999999,PASS,2046035.8056265982,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.025_sosac_gamma-0.0,1000000000.0,0.025,0.0,PASS,1.0,PASS,1000000000.0,PASS,4777318.20548856,PASS,2.8449465006019636e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.025_sosac_gamma-0.03,1000000000.0,0.025,0.03,PASS,1.0,PASS,1000000000.0000001,PASS,4649440.967636897,PASS,1.9984014443252818e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.025_sosac_gamma-0.1,1000000000.0,0.025,0.1,PASS,1.0,PASS,999999999.9999999,PASS,4351060.745983018,PASS,3.1086244689504383e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.05_sosac_gamma-0.0,1000000000.0,0.05,0.0,PASS,1.0,PASS,1000000000.0000001,PASS,5129757.057572967,PASS,1.8648277366750676e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.05_sosac_gamma-0.03,1000000000.0,0.05,0.03,PASS,1.0,PASS,999999999.9999999,PASS,5157917.137898766,PASS,2.220446049250313e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.05_sosac_gamma-0.1,1000000000.0,0.05,0.1,PASS,1.0,PASS,1000000000.0,PASS,4779968.857137186,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.1_sosac_gamma-0.0,1000000000.0,0.1,0.0,PASS,1.0,PASS,1000000000.0000001,PASS,4860252.961409077,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.1_sosac_gamma-0.03,1000000000.0,0.1,0.03,PASS,1.0,PASS,1000000000.0000001,PASS,5078550.956672783,PASS,1.5543122344752192e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.1_sosac_gamma-0.1,1000000000.0,0.1,0.1,PASS,1.0,PASS,999999999.9999999,PASS,4700602.675911203,PASS,3.552713678800501e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.15_sosac_gamma-0.0,1000000000.0,0.15,0.0,PASS,1.0,PASS,1000000000.0000001,PASS,4590748.865245189,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.15_sosac_gamma-0.03,1000000000.0,0.15,0.03,PASS,0.9999999999999999,PASS,999999999.9999998,PASS,4999184.775446798,PASS,3.552713678800501e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
tsac_sosac_coarse_tsac_beta-0.15_sosac_gamma-0.1,1000000000.0,0.15,0.1,PASS,1.0,PASS,1000000000.0000002,PASS,4621236.494685218,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
