scenario_id,fund_size,un_scale_mode,exclude_hi,iplc_share,tsac_beta,sosac_gamma,floor_pct,ceiling_pct,n_eligible,n_sids_eligible,floor_binding_count,ceiling_binding_count,sum_final_share,sum_total_allocation,negative_count,top10_share,top20_share,mean_alloc,median_alloc,p90_p10_ratio,hhi,gini,gini_coefficient,pct_below_equality,median_pct_of_equality,spearman_vs_iusaf,spearman_vs_equality,top20_turnover_vs_iusaf,spearman_vs_pure_iusaf,top20_turnover_vs_pure_iusaf,mean_abs_share_delta_vs_pure_iusaf,max_abs_share_delta_vs_pure_iusaf,overlay_strength_label,departure_from_pure_iusaf_flag,max_tsac_iusaf_ratio,n_parties_tsac_dominant,china_tsac_iusaf_ratio,brazil_tsac_iusaf_ratio,tsac_balance_exceeded,sosac_balance_exceeded,band1_per_party_pct_change_vs_iusaf,local_min_spearman_vs_baseline,local_max_top20_turnover_vs_baseline,local_mean_mean_abs_share_delta,local_max_abs_share_delta,local_stability_label,local_blended_instability_flag,ldc_total,sids_total,stewardship_warning_level,outcome_warning_flag,dominance_flag,expected_total_allocation,structural_break_flag,region_Africa,region_Americas,region_Asia,region_Europe,region_Oceania,income_High income,income_Low income,income_Lower middle income,income_Upper middle income
tsac_sosac_fine_tsac_beta-0.0_sosac_gamma-0.0,1000000000.0,band_inversion,True,50.0,0.0,0.0,0.0,,142,39,0,0,1.0,1000.0000000000002,0,0.08525149190110827,0.17050298380221654,7.042253521126762,7.388462631429383,1.5789473684210524,0.00723075100532077,0.08725069942245134,0.08725069942245134,36.61971830985916,104.91616936629724,1.0,0.0,0.0,1.0,0.0,0.0,0.0,minimal overlay,False,0.0,0,,,False,False,0.0,,,,,not_evaluated,False,339.8692810457516,304.6319977266269,none,False,False,1000.0,False,394.1460642227906,194.37340153452686,239.84086388178463,54.5609548167093,117.0787155441887,88.94572321682297,200.05683432793407,361.4663256606991,349.53111679454395
tsac_sosac_fine_tsac_beta-0.0_sosac_gamma-0.005,1000000000.0,band_inversion,True,50.0,0.0,0.005,0.0,,142,39,0,0,1.0,1000.0,0,0.08610728572365402,0.17221457144730798,7.042253521126761,7.351520318272237,1.6028116289951782,0.007236985504488334,0.08955099341540729,0.08955099341540773,36.61971830985916,104.39158851946577,0.9771208646957501,0.0,0.8,0.9771208646957501,0.8,4.896957762488535e-05,0.0001012088224364438,strong overlay,True,0.0,0,0.0,0.0,False,False,0.5672456575682432,,,,,not_evaluated,False,339.0673705379589,308.10883773799384,none,False,False,1000.0,True,392.9445646709074,195.4528165781363,239.02627494699107,54.28815004262575,118.28819376133954,90.03945613920038,199.18475528449954,360.8128401862418,349.9629483900584
tsac_sosac_fine_tsac_beta-0.0_sosac_gamma-0.01,1000000000.0,band_inversion,True,50.0,0.0,0.01,0.0,,142,39,0,0,1.0,1000.0000000000002,0,0.08696307954619976,0.17392615909239953,7.042253521126762,7.31457800511509,1.6269169427064163,0.007244082484801738,0.0918512874083639,0.09185128740836368,36.61971830985916,103.86700767263429,0.9771208646957501,0.0,0.8,0.9771208646957501,0.8,9.79391552497707e-05,0.0002024176448728876,strong overlay,True,0.0,0,0.0,0.0,False,False,1.1344913151364653,,,,,not_evaluated,False,338.2654600301659,311.58567774936057,none,False,False,1000.0,True,391.7430651190242,196.5322316217457,238.21168601219753,54.015345268542205,119.49767197849039,91.13318906157781,198.312676241065,360.15935471178443,350.3947799855729
tsac_sosac_fine_tsac_beta-0.0_sosac_gamma-0.015,1000000000.0,band_inversion,True,50.0,0.0,0.015,0.0,,142,39,0,0,1.0,999.9999999999999,0,0.08781887336874548,0.17563774673749097,7.04225352112676,7.277635691957943,1.651266980414723,0.00725204194626098,0.0941515814013203,0.09415158140132052,36.61971830985916,103.34242682580279,0.9771208646957501,0.0,0.8,0.9771208646957501,0.8,0.0001469087328746564,0.0003036264673093314,strong overlay,True,0.0,0,0.0,0.0,False,False,1.7017369727047087,,,,,not_evaluated,False,337.463549522373,315.06251776072753,none,False,False,1000.0,True,390.54156556714105,197.61164666535512,237.397097077404,53.74254049445866,120.70715019564126,92.22692198395524,197.44059719763044,359.5058692373271,350.8266115810873
tsac_sosac_fine_tsac_beta-0.0_sosac_gamma-0.02,1000000000.0,band_inversion,True,50.0,0.0,0.02,0.0,,142,39,0,0,1.0,1000.0,0,0.08867466719129123,0.17734933438258252,7.042253521126761,7.240693378800795,1.6758654878955632,0.007260863888866062,0.09645187539427691,0.09645187539427691,36.61971830985916,102.8178459789713,0.9771208646957501,0.0,0.8,0.9771208646957501,0.8,0.00019587831049954174,0.0004048352897457752,strong overlay,True,0.0,0,0.0,0.0,False,False,2.268982630272952,,,,,not_evaluated,False,336.66163901458026,318.5393577720944,none,False,False,1000.0,True,389.34006601525783,198.69106170896453,236.58250814261044,53.46973572037511,121.9166284127921,93.32065490633265,196.56851815419589,358.8523837628697,351.25844317660176
tsac_sosac_fine_tsac_beta-0.0_sosac_gamma-0.025,1000000000.0,band_inversion,True,50.0,0.0,0.025,0.0,,142,39,0,0,1.0,1000.0000000000002,0,0.08953046101383698,0.17906092202767396,7.042253521126762,7.203751065643648,1.700716287760822,0.007270548312616983,0.09875216938723308,0.09875216938723286,36.61971830985916,102.29326513213981,0.9771208646957501,0.0,0.8,0.9771208646957501,0.8,0.0002448478881244272,0.0005060441121822199,strong overlay,True,0.0,0,0.0,0.0,False,False,2.8362282878411946,,,,,not_evaluated,False,335.8597285067873,322.0161977834611,none,False,False,1000.0,True,388.1385664633747,199.77047675257396,235.76791920781693,53.196930946291566,123.12610662994294,94.41438782871008,195.69643911076136,358.19889828841235,351.69027477211625
tsac_sosac_fine_tsac_beta-0.0_sosac_gamma-0.03,1000000000.0,band_inversion,True,50.0,0.0,0.03,0.0,,142,39,0,0,1.0,1000.0,0,0.09038625483638273,0.1807725096727654,7.042253521126761,7.166808752486502,1.725823281439125,0.00728109521751374,0.10105246338018925,0.10105246338018925,36.61971830985916,101.76868428530834,0.9771208646957501,0.0,0.8,0.9771208646957501,0.8,0.00029381746574931247,0.0006072529346186637,strong overlay,True,0.0,0,0.0,0.0,False,False,3.4034739454094174,,,,,not_evaluated,False,335.0578179989944,325.49303779482807,none,False,False,1000.0,True,386.9370669114915,200.84989179618339,234.9533302730234,52.92412617220802,124.33558484709381,95.50812075108752,194.82436006732684,357.54541281395507,352.1221063676307
tsac_sosac_fine_tsac_beta-0.0_sosac_gamma-0.035,1000000000.0,band_inversion,True,50.0,0.0,0.035,0.0,,142,39,0,0,1.0,1000.0000000000001,0,0.09124204865892849,0.18248409731785697,7.042253521126761,7.129866439329355,1.7511904512177219,0.007292504603556339,0.10340751044400087,0.10340751044400087,36.61971830985916,101.24410343847686,0.9714823647586788,0.0,0.8,0.9714823647586788,0.8,0.0003427870433741983,0.0007084617570551075,strong overlay,True,0.0,0,0.0,0.0,False,False,3.9707196029776815,,,,,not_evaluated,False,334.25590749120164,328.96987780619514,none,False,False,1000.0,True,385.7355673596083,201.9293068397928,234.13874133822983,52.651321398124466,125.54506306424469,96.60185367346494,193.95228102389228,356.8919273394977,352.5539379631452
tsac_sosac_fine_tsac_beta-0.0_sosac_gamma-0.04,1000000000.0,band_inversion,True,50.0,0.0,0.04,0.0,,142,39,0,0,1.0,999.9999999999999,0,0.09209784248147418,0.18419568496294836,7.04225352112676,7.092924126172208,1.7768218623481777,0.007304776470744773,0.10580482303619054,0.10580482303619032,36.61971830985916,100.71952259164536,0.9714823647586788,0.0,0.8,0.9714823647586788,0.8,0.0003917566209990832,0.0008096705794915513,strong overlay,True,0.0,0,0.0,0.0,False,False,4.5379652605458825,,,,,not_evaluated,False,333.4539969834087,332.44671781756165,none,False,False,1000.0,True,384.5340678077251,203.0087218834022,233.3241524034363,52.37851662404093,126.75454128139549,97.69558659584234,193.08020198045773,356.23844186504033,352.98576955865957
tsac_sosac_fine_tsac_beta-0.0_sosac_gamma-0.045,1000000000.0,band_inversion,True,50.0,0.0,0.045,0.0,,142,39,0,0,1.0,1000.0,0,0.09295363630401993,0.1859072726080398,7.042253521126761,7.055981813015061,1.8027216652182205,0.007317910819079047,0.10848211242667505,0.10848211242667505,33.80281690140845,100.19494174481387,0.9127525084429828,0.0,0.8,0.9127525084429828,0.8,0.00044072619862396884,0.0009108794019279951,strong overlay,True,0.0,0,0.0,0.0,False,False,5.105210918114126,,,,,not_evaluated,False,332.65208647561593,335.92355782892867,none,False,False,1000.0,True,383.3325682558419,204.08813692701162,232.50956346864274,52.10571184995737,127.96401949854634,98.78931951821977,192.20812293702318,355.584956390583,353.41760115417406
